district,male_mean_age_4,male_mean_education_4,male_pct_no_education_4,male_pct_higher_education_4,male_literacy_rate_4,male_urban_share_4,male_mean_wealth_index_4,male_mean_hh_size_4,male_pct_married_4,male_pct_has_mobile_4,male_pct_has_bank_account_4,male_mean_digital_access_4,n_men_4,female_mean_age_4,female_mean_education_4,female_pct_no_education_4,female_literacy_rate_4,female_urban_share_4,female_mean_wealth_index_4,female_mean_hh_size_4,female_mean_children_u5_4,female_pct_married_4,female_pct_breastfeeding_4,female_pct_has_mobile_4,female_mean_digital_access_4,n_women_4,digital_gender_gap_mobile_4,digital_gender_gap_score_4,mean_education_4,mean_age_4,urban_share_4,mean_hh_size_4,mean_wealth_index_4,n_total_4,education_gender_gap_4,literacy_gender_gap_4
tumkur,35.254421,9.4408693,18.777502,46.313835,172.21529,32.076004,496500.5878,4.6017089,64.478096,90.351257,80.85154,2.3018291,361.5425051,31.423103,7.2813277,22.909393,144.97139,26.616829,11241.51512,4.8604193,0.38994169,74.5047,8.4035845,41.585743,0.97331727,1322.999139,48.765514,1.3285118,7.7448163,32.245396,29.346416,4.7310638,115389.59,1684.5416,2.1595416,27.243896
bangalore,32.866741,10.040066,8.6875153,55.29921,167.70251,94.879974,983316.0103,3.9996965,58.398132,97.440025,87.785522,2.441452,1420.583193,30.59543,10.015129,10.413016,172.73618,91.717789,112651.4637,4.7370572,0.44376957,74.233208,8.5425158,74.162086,1.3166991,6237.919257,23.277939,1.1247529,10.019754,31.016739,93.298882,4.3683767,274151.91,7658.5024,0.024936676,-5.0336609
mandya,34.173717,8.3742056,11.750932,61.312294,158.12099,25.728142,348065.3718,4.5099139,57.800365,95.781937,82.762672,2.0646963,233.0770704,31.312702,7.4950652,23.717802,146.04384,20.102188,23754.03594,4.8265624,0.36147162,74.180855,7.5623999,46.30043,1.0356984,1051.868209,49.481506,1.0289979,7.6545329,31.831663,22.915165,4.6682382,82581.086,1284.9453,0.87914038,12.077148
hassan,37.093109,9.0840015,7.9180131,63.031525,153.41917,24.205774,390455.9185,4.4822111,73.03875,95.195732,98.248169,2.2280526,228.8798701,31.855692,7.5490847,21.262062,155.33745,26.341572,31458.41361,4.8513188,0.3640973,74.435005,8.1199932,53.409977,1.0813016,975.1965485,41.785755,1.146751,7.8408532,32.851261,25.273674,4.6667652,99699.352,1204.0764,1.5349169,-1.9182739
dakshina kannada,34.189159,9.8794107,3.9859436,64.776039,180.66576,48.598839,748569.0926,5.2250371,53.166229,96.953644,95.986877,2.1638391,285.5801517,31.646221,8.6533012,10.772685,167.04201,48.31123,52338.23839,5.4229298,0.3705686,66.438583,8.9633751,75.079865,1.2857023,1234.899149,21.873779,0.87813675,8.8835926,32.12384,48.455032,5.3239832,183106.03,1520.4792,1.2261095,13.623749
kodagu,35.904587,9.6917467,8.353116,52.754086,165.07245,19.15312,582230.749,4.4883685,69.331673,95.962608,93.593346,2.4109452,64.94044019,31.620842,8.3645754,14.02617,161.36816,13.550344,39347.75395,5.1359406,0.47575691,71.554955,9.301631,50.732635,1.3001959,322.687868,45.229973,1.1107492,8.5869198,32.338509,16.351732,4.8121548,130298.44,387.6283,1.3271713,3.7042847
mysore,35.640163,8.6718788,13.284345,50.580578,148.9519,45.819595,455274.6871,4.5485835,68.323395,90.425186,93.172905,2.2086687,458.1531055,31.067396,7.2637448,25.860659,145.92708,43.327915,32163.51496,4.9337268,0.40438789,73.386116,8.2210932,48.677208,1.0767285,1870.110282,41.747978,1.1319402,7.5408359,31.96722,44.573753,4.7411551,115422.87,2328.2634,1.408134,3.024826
chamarajanagar,32.893238,6.7098689,27.117664,45.101826,130.76524,21.632452,164181.8409,4.6230998,54.034359,93.126755,92.024879,2.3277965,143.1553763,31.326864,5.6427493,36.043396,136.00418,20.464252,-10053.04265,5.1263342,0.41467473,75.303032,8.5317545,37.07338,0.93110442,591.9341326,56.053375,1.396692,5.8505659,31.631908,21.048351,4.8747168,23878.418,735.08954,1.0671196,-5.2389374
gulbarga,31.04928,7.8483367,18.549433,51.293552,150.08081,28.127983,-72838.5458,5.9649825,55.613945,87.563019,86.188469,1.6495894,331.9055264,29.248625,5.6119542,39.048672,119.28745,41.129246,8401.984988,6.2700629,0.70578808,71.869133,17.85537,30.337122,0.97711378,1334.925815,57.225899,0.67247564,6.057271,29.607178,34.628616,6.1175227,-7774.9253,1666.8313,2.2363825,30.793358
yadgir,30.548515,6.8767114,29.871252,38.746624,113.1566,21.55504,-159601.8762,7.1451979,61.090672,92.690514,76.949295,1.5617729,176.1074234,28.804867,4.1013641,54.621662,95.237762,28.28196,-19022.64148,6.4396176,0.73628527,71.836296,18.040529,14.550837,0.78218752,596.7738838,78.139679,0.77958542,4.7337499,29.202171,24.918499,6.792408,-51054.789,772.88129,2.7753472,17.918839
kolar,33.622681,9.821166,4.0002394,63.988388,186.8943,32.750767,680927.9323,5.3434105,63.335957,96.631302,93.472145,2.3440161,210.2754784,30.582354,7.4144244,24.087234,150.39558,38.832008,40452.59475,5.1305008,0.43748543,71.213928,10.519567,38.688904,1.0140589,917.146993,57.942398,1.3299571,7.8633056,31.149405,35.791389,5.2369556,159907.59,1127.4225,2.4067416,36.498718
chikkaballapura,34.698311,8.1148806,15.402735,53.650063,155.09961,25.417343,464769.3961,5.1306195,69.671394,96.016838,91.838203,2.4610667,157.1574733,31.806654,6.619585,30.233973,128.42487,29.291492,24883.2835,5.0073237,0.39036843,76.454201,7.2363248,47.074627,0.97621781,688.7831423,48.942211,1.484849,6.8973784,32.343861,27.354418,5.0689716,106604.61,845.94061,1.4952955,26.674744
bangalore rural,33.377708,10.854294,1.8737135,56.61124,184.61349,37.330112,810905.1815,4.8606963,64.096603,94.029671,94.209549,2.4773471,138.0235502,30.135368,7.8173518,19.187769,154.32649,25.345539,43150.1656,5.3113914,0.49708757,73.242905,9.482357,56.130989,1.0683043,556.2024305,37.898682,1.4090428,8.4211454,30.779999,31.337826,5.0860438,195792.5,694.22595,3.036942,30.287003
