StateCode,State,DistrictCode,district,in_labour_force,lfpr_percent
23,Madhya Pradesh,16,mandsaur,0.3274336159229278,32.74336242675781
29,Karnataka,19,mandya,0.1875,18.75
3,Punjab,13,mansa,0.067615658044815,6.761565685272217
9,Uttar Pradesh,14,mathura,0.0581395365297794,5.813953876495361
9,Uttar Pradesh,61,mau,0.1459853947162628,14.598539352416992
21,Odisha,7,mayurbhanj,0.3631578981876373,36.31578826904297
36,Telangana,4,medak,0.6229507923126221,62.29507827758789
9,Uttar Pradesh,7,meerut,0.044728435575962,4.472843647003174
6,Haryana,19,mewat,0.031128404662013,3.112840414047241
9,Uttar Pradesh,68,mirzapur,0.1653543263673782,16.535432815551758
3,Punjab,8,moga,0.116666667163372,11.666666984558104
13,Nagaland,2,mokokchung,0.3927125632762909,39.27125549316406
13,Nagaland,1,mon,0.2977527976036072,29.775279998779297
9,Uttar Pradesh,4,moradabad,0.0259740259498357,2.597402572631836
23,Madhya Pradesh,2,morena,0.0319148935377597,3.1914894580841064
18,Assam,5,morigaon,0.1319444477558136,13.19444465637207
3,Punjab,10,muktsar,0.1365853697061538,13.658536911010742
22,Chhattisgarh,25,mungeli,0.4044943749904632,40.44943618774414
10,Bihar,24,munger,0.0912698432803154,9.12698459625244
19,West Bengal,7,murshidabad,0.2166212499141693,21.662124633789062
9,Uttar Pradesh,2,muzaffarnagar,0.1036269441246986,10.36269474029541
10,Bihar,14,muzaffarpur,0.0308529939502477,3.085299491882324
29,Karnataka,23,mysore,0.2573221623897552,25.732215881347656
21,Odisha,28,nabarangapur,0.3346613645553589,33.46613693237305
19,West Bengal,10,nadia,0.2017937153577804,20.179370880126953
18,Assam,6,nagaon,0.1849217712879181,18.492177963256836
33,Tamil Nadu,17,nagapattinam,0.3791208863258362,37.91209030151367
8,Rajasthan,14,nagaur,0.25,25.0
5,Uttrakhand,11,nainital,0.2427536249160766,24.275362014770508
10,Bihar,27,nalanda,0.1010638326406478,10.106383323669434
18,Assam,24,nalbari,0.1279069781303405,12.790698051452637
36,Telangana,8,nalgonda,0.3939394056797027,39.39393997192383
33,Tamil Nadu,8,namakkal,0.5289855003356934,52.89855194091797
22,Chhattisgarh,16,narayanpur,0.3521126806735992,35.21126937866211
24,Gujarat,20,narmada,0.5,50.0
23,Madhya Pradesh,35,narsimhapur,0.3047619163990021,30.47619247436523
24,Gujarat,23,navsari,0.3402777910232544,34.02777862548828
10,Bihar,35,nawada,0.0186915881931781,1.8691588640213013
21,Odisha,16,nayagarh,0.0777777805924415,7.777778148651123
23,Madhya Pradesh,15,neemuch,0.3613445460796356,36.13445281982422
36,Telangana,2,nizamabad,0.4047619104385376,40.476192474365234
11,Sikkim,1,north district,0.5249999761581421,52.499996185302734
16,Tripura,4,north tripura,0.1322751343250274,13.227513313293455
19,West Bengal,11,north twenty four parganas,0.1926940679550171,19.269407272338867
21,Odisha,25,nuapada,0.4772727191448211,47.727272033691406
20,Jharkhand,8,pakur,0.3404255211353302,34.04255294799805
32,Kerala,6,palakkad,0.1833060532808303,18.330604553222656
20,Jharkhand,13,palamu,0.2413793057203292,24.137929916381836
8,Rajasthan,20,pali,0.1210526302456855,12.105262756347656
6,Haryana,21,palwal,0.0240000002086162,2.4000000953674316
24,Gujarat,17,panch mahals,0.3423728942871094,34.23728942871094
6,Haryana,1,panchkula,0.1657142788171768,16.571428298950195
6,Haryana,7,panipat,0.208074539899826,20.807453155517575
23,Madhya Pradesh,9,panna,0.0322580635547637,3.22580623626709
12,Arunachal Pradesh,4,papum pare,0.162109375,16.2109375
19,West Bengal,18,paschim medinipur,0.1299559473991394,12.99559497833252
10,Bihar,1,pashchim champaran,0.0238095242530107,2.3809523582458496
20,Jharkhand,23,pashchimi singhbhum,0.1444444507360458,14.44444465637207
24,Gujarat,3,patan,0.260869562625885,26.08695602416992
32,Kerala,12,pathanamthitta,0.2747603952884674,27.47603988647461
3,Punjab,21,pathankot,0.0598290599882602,5.982905864715576
3,Punjab,14,patiala,0.1481481492519378,14.814814567565918
10,Bihar,28,patna,0.0660247579216957,6.602475643157959
33,Tamil Nadu,14,perambalur,0.2823529541492462,28.23529624938965
13,Nagaland,11,peren,0.4112149477005005,41.12149429321289
13,Nagaland,6,phek,0.488095223903656,48.80952072143555
9,Uttar Pradesh,20,pilibhit,0.0297397766262292,2.973977565765381
5,Uttrakhand,7,pithoragarh,0.47826087474823,47.82608795166016
