district,m_pct_any_dv_4,f_pct_any_beat_4,gap_any_dv_4,avg_any_dv_4,m_mean_dv_count_4,f_mean_beat_count_4,gap_dv_count_4,m_pct_beat_goout_4,m_pct_beat_neglect_4,m_pct_beat_argue_4,m_pct_beat_refusesex_4,m_pct_beat_burnfood_4,m_pct_dv_unfaithful_4,m_pct_dv_disrespect_4,m_pct_father_beat_mother_4,m_pct_force_sex_right_4,m_pct_any_dv_4,m_mean_dv_count_4,f_pct_beat_goout_4,f_pct_beat_neglect_4,f_pct_beat_argue_4,f_pct_beat_refusesex_4,f_pct_beat_burnfood_4,f_pct_any_beat_4,f_mean_beat_count_4,f_n_dv_4,gap_father_beat_mother_4,female_pct_breastfeeding_4
jalandhar,66.931145,36.782913,30.148232,51.857029,1.4527689,1.0222331,0.43053579,11.678832,12.318841,13.768116,8.695652,5.7553959,13.868613,18.115942,7.1942449,59.558823,66.666672,1.4680851,20.481928,23.493975,17.469879,10.909091,18.072289,34.337349,0.90361446,161.42856,-9.9220276,10.625113
hoshiarpur,79.544815,27.331776,52.213039,53.438293,1.8848858,0.53682172,1.3480641,24.025974,23.376623,25.974026,5.8441558,4.5454545,14.285715,25.324675,4.5454545,61.688309,79.354843,1.883871,12.977099,13.178295,7.7519379,3.1007752,9.2307692,22.137405,0.45801526,104.9691364,-6.4697037,11.231189
shahid bhagat singh nagar,76.862106,25.464769,51.397339,51.163437,1.8964196,0.54380691,1.3526127,20.370371,16.666668,18.518518,8.6419754,6.8322978,17.283951,25.925926,6.8322978,65.432098,77.160492,1.8641975,12.328767,20.547945,8.90411,8.2191782,15.753424,30.136988,0.65753424,37.73660661,5.866116,10.010289
fatehgarh sahib,81.926262,13.915251,68.011009,47.920757,1.4148847,0.34507594,1.0698087,12.92517,9.5238094,9.5238094,4.7619047,4.0816326,6.1224489,10.884354,6.8965516,76.551727,81.632652,1.4013605,3.4246576,5.4794521,6.8493152,4.1095891,4.7945204,12.328767,0.24657534,35.87067979,-4.0118461,11.633088
ludhiana,85.723671,5.9693589,79.754311,45.846516,1.1721398,0.13165152,1.0404882,3.0075188,1.5037594,3.787879,3.0075188,3.0075188,2.2727273,9.0225563,11.904762,79.844963,84.328362,1.1343284,4.2253518,6.338028,2.8169014,2.1126759,3.521127,7.746479,0.19014084,205.5371931,8.390234,9.8117256
moga,81.495743,36.346252,45.14949,58.920998,2.1965609,1.127576,1.0689849,22.580645,17.297298,18.27957,11.413044,13.978495,24.324326,30.481285,20.21858,66.120216,81.818184,2.2192514,24.539877,25.925926,24.539877,11.656442,30.06135,38.036808,1.1656442,64.82865563,-1.2026138,11.898003
43,,31.988855,,,,0.8990258,,,,,,,,,,,,,17.880795,24.666668,17.880795,11.409396,16.556292,32.450329,0.8807947,94.56778511,,
muktsar,85.757454,11.549152,74.208298,48.653305,2.1658654,0.18301232,1.9828531,19.767443,13.953489,18.023256,10.650887,9.3023252,22.807016,32.55814,20.467836,69.186043,86.046509,2.1627908,7.2289152,4.8192768,7.8313255,1.8072288,4.2168674,13.253013,0.25903615,67.80327041,-7.4072552,11.381608
faridkot,85.434631,24.110233,61.324398,54.77243,1.8821784,0.79530078,1.0868776,15.000001,10.638298,18.439716,9.2198582,13.475177,20,22.142857,13.571429,76.978416,86.61972,1.9647887,24.528303,22.64151,25.786165,18.238993,28.930819,40.880505,1.2012578,74.54911444,-3.3637943,10.175291
bathinda,87.107864,12.149306,74.958557,49.628586,2.7966275,0.25195497,2.5446725,26.451611,19.354837,27.096775,9.6774187,10.967742,35.294117,40.259739,27.891155,58.709675,85.80645,2.5354838,5.3333335,6,8,3.3333335,4.6666665,12,0.27333334,77.73344932,23.572224,11.18807
