State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
9,47,10,2,1,7,6,0,1,2,2,0
9,48,18,5,0,13,5,0,8,5,5,0
9,49,41,3,2,36,12,0,24,2,3,1
9,50,2,1,0,1,1,0,0,1,1,0
9,51,32,6,1,25,3,0,22,2,6,4
9,52,35,5,0,30,5,0,25,3,5,2
9,53,30,5,0,25,16,0,9,5,5,0
9,54,25,6,2,17,7,0,10,5,6,1
9,55,11,2,1,8,7,0,1,2,2,0
9,56,15,5,1,9,4,0,5,5,5,0
9,57,27,8,1,18,16,0,2,6,8,2
9,58,24,2,0,22,18,0,4,2,2,0
9,59,9,1,2,6,6,0,0,1,1,0
9,60,55,9,2,44,28,0,16,5,9,4
9,61,20,2,3,15,8,0,7,2,2,0
9,62,52,5,1,46,35,0,11,3,5,2
9,63,56,4,1,51,33,0,18,2,4,2
9,64,71,14,0,57,18,2,37,11,14,3
9,65,23,12,0,11,1,0,10,1,12,11
9,66,41,9,6,26,11,0,15,7,9,2
9,67,2,0,0,2,2,0,0,0,0,0
9,68,21,6,0,15,4,0,11,1,6,5
9,69,26,5,0,21,2,0,19,2,5,3
9,70,13,1,0,12,4,0,8,1,1,0
9,71,19,6,0,13,4,0,9,1,6,5
10,1,7,2,0,5,3,0,2,2,2,0
10,2,7,3,1,3,3,0,0,1,3,2
10,4,4,3,0,1,0,0,1,1,3,2
10,5,4,3,0,1,1,0,0,1,3,2
10,6,33,15,1,17,4,0,13,2,15,13
10,7,24,7,0,17,3,0,14,4,7,3
10,8,15,7,0,8,4,0,4,4,7,3
10,9,33,18,0,15,8,0,7,8,18,10
10,10,41,26,0,15,4,0,11,12,26,14
10,11,22,8,1,13,7,0,6,4,8,4
10,12,13,5,0,8,2,0,6,2,5,3
10,13,11,3,0,8,7,0,1,1,3,2
10,14,17,11,0,6,5,0,1,6,11,5
10,15,6,1,0,5,5,0,0,1,1,0
10,16,30,5,1,24,15,0,9,1,5,4
10,17,12,5,1,6,6,0,0,4,5,1
10,18,6,3,0,3,3,0,0,1,3,2
10,19,7,5,0,2,2,0,0,0,5,5
10,20,10,8,0,2,2,0,0,1,8,7
10,21,13,5,0,8,5,0,3,1,5,4
10,22,14,5,1,8,6,0,2,5,5,0
10,23,3,3,0,0,0,0,0,1,3,2
10,24,23,6,2,15,8,0,7,6,6,0
10,25,3,0,0,3,3,0,0,0,0,0
10,26,1,1,0,0,0,0,0,1,1,0
10,27,38,25,0,13,6,0,7,5,25,20
10,28,48,20,9,19,17,0,2,20,20,0
10,29,34,7,5,22,17,0,5,7,7,0
10,30,11,4,0,7,7,0,0,3,4,1
10,31,3,2,0,1,0,0,1,0,2,2
10,32,19,3,0,16,12,0,4,3,3,0
10,33,4,2,0,2,2,0,0,2,2,0
10,34,17,10,0,7,7,0,0,6,10,4
10,35,4,1,0,3,2,0,1,1,1,0
10,36,10,3,0,7,2,0,5,3,3,0
10,37,1,1,0,0,0,0,0,0,1,1
10,38,1,1,0,0,0,0,0,1,1,0
11,1,84,41,1,42,17,0,25,40,41,1
11,2,130,36,2,92,43,0,49,34,36,2
11,3,118,58,2,58,21,0,37,57,58,1
11,4,216,126,4,86,27,0,59,122,126,4
12,1,8,3,2,3,3,0,0,2,3,1
12,2,20,13,2,5,5,0,0,12,13,1
12,3,15,9,0,6,6,0,0,9,9,0
12,4,83,44,12,27,27,0,0,44,44,0
12,5,11,5,1,5,5,0,0,5,5,0
12,6,38,20,10,8,7,0,1,19,20,1
12,7,51,11,8,32,16,0,16,11,11,0
12,8,22,2,0,20,8,0,12,2,2,0
12,9,121,35,13,73,35,1,37,30,35,5
12,10,46,6,6,34,17,0,17,6,6,0
12,11,13,5,1,7,6,0,1,5,5,0
12,12,8,3,3,2,2,0,0,3,3,0
12,13,2,1,0,1,1,0,0,1,1,0
12,14,38,7,3,28,16,1,11,7,7,0
12,15,131,47,12,72,36,0,36,45,47,2
13,1,106,10,27,69,21,0,48,10,10,0
13,2,97,28,22,47,13,0,34,28,28,0
13,3,16,1,4,11,2,0,9,1,1,0
13,4,61,13,24,24,3,0,21,13,13,0
13,5,94,27,29,38,22,0,16,27,27,0
13,6,41,1,4,36,6,0,30,1,1,0
13,7,79,8,30,41,12,0,29,8,8,0
13,8,4,2,0,2,1,0,1,2,2,0
13,9,8,1,3,4,1,0,3,1,1,0
13,10,116,40,28,48,25,0,23,40,40,0
13,11,44,9,14,21,6,0,15,9,9,0
14,1,140,36,14,90,60,1,29,32,36,4
14,2,31,5,4,22,20,0,2,5,5,0
14,3,94,33,11,50,41,0,9,30,33,3
14,4,127,33,12,82,73,0,9,26,33,7
14,5,217,48,12,157,137,0,20,42,48,6
14,6,436,153,34,249,220,1,28,140,153,13
14,7,149,31,9,109,105,0,4,23,31,8
14,8,55,15,12,28,19,0,9,15,15,0
14,9,28,12,2,14,13,0,1,10,12,2
15,1,47,7,7,33,18,0,15,7,7,0
15,2,60,10,6,44,24,0,20,9,10,1
15,3,376,115,30,231,174,1,56,102,115,13
15,4,96,22,5,69,22,1,46,16,22,6
15,5,37,6,3,28,18,0,10,5,6,1
15,6,145,38,7,100,65,0,35,34,38,4
15,7,88,15,4,69,30,1,38,10,15,5
15,8,54,10,2,42,23,0,19,10,10,0
16,1,367,179,19,169,115,1,53,117,179,62
16,2,163,56,9,98,58,0,40,29,56,27
16,3,87,25,3,59,23,0,36,19,25,6
16,4,75,51,3,21,14,0,7,40,51,11
17,1,129,18,2,109,4,0,105,16,18,2
17,2,132,21,4,107,10,0,97,20,21,1
17,3,40,2,0,38,1,0,37,2,2,0
17,4,82,61,4,17,12,0,5,37,61,24
17,5,112,53,6,53,45,0,8,31,53,22
17,6,290,170,34,86,60,0,26,138,170,32
17,7,115,71,10,34,26,0,8,39,71,32
18,1,7,6,0,1,1,0,0,3,6,3
18,2,35,24,6,5,3,1,1,21,24,3
18,3,21,13,2,6,5,0,1,13,13,0
18,4,19,15,3,1,1,0,0,14,15,1
18,5,19,4,10,5,5,0,0,3,4,1
18,6,130,61,43,26,23,0,3,53,61,8
18,7,44,35,3,6,4,0,2,22,35,13
18,8,11,7,1,3,1,0,2,5,7,2
18,9,8,3,1,4,4,0,0,1,3,2
18,10,113,62,14,37,18,0,19,54,62,8
18,11,97,49,10,38,18,0,20,47,49,2
18,12,43,22,7,14,11,0,3,12,22,10
18,13,54,28,15,11,9,0,2,22,28,6
18,14,26,13,2,11,11,0,0,7,13,6
18,15,12,8,0,4,3,0,1,8,8,0
18,16,3,3,0,0,0,0,0,3,3,0
18,17,21,18,0,3,3,0,0,17,18,1
18,18,18,13,1,4,2,0,2,12,13,1
18,19,3,2,0,1,1,0,0,2,2,0
18,20,28,9,6,13,10,0,3,9,9,0
18,21,6,4,2,0,0,0,0,2,4,2
18,22,45,21,9,15,10,0,5,13,21,8
18,23,45,22,10,13,11,1,1,22,22,0
18,24,11,6,2,3,2,0,1,5,6,1
18,25,28,13,3,12,5,1,6,10,13,3
18,26,11,6,2,3,3,0,0,5,6,1
18,27,30,20,4,6,5,0,1,15,20,5
19,1,67,48,4,15,10,0,5,38,48,10
19,2,109,53,6,50,20,0,30,30,53,23
19,3,64,20,0,44,7,0,37,6,20,14
