State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
9,22,43,6,0,37,10,0,27,6,6,0,Uttar Pradesh,kheri
9,23,39,7,0,32,4,0,28,7,7,0,Uttar Pradesh,sitapur
9,24,18,3,2,13,3,0,10,3,3,0,Uttar Pradesh,hardoi
9,25,64,12,3,49,10,0,39,10,12,2,Uttar Pradesh,unnao
9,26,90,40,10,40,13,2,25,40,40,0,Uttar Pradesh,lucknow
9,27,42,14,1,27,10,0,17,4,14,10,Uttar Pradesh,rae bareli
9,28,13,1,2,10,5,0,5,1,1,0,Uttar Pradesh,farrukhabad
9,29,14,4,3,7,3,0,4,3,4,1,Uttar Pradesh,kannauj
9,30,8,3,0,5,2,0,3,3,3,0,Uttar Pradesh,etawah
9,31,3,0,0,3,3,0,0,0,0,0,Uttar Pradesh,auraiya
9,32,6,4,0,2,2,0,0,3,4,1,Uttar Pradesh,kanpur dehat
9,33,62,36,14,12,4,0,8,28,36,8,Uttar Pradesh,kanpur nagar
9,34,24,6,0,18,4,0,14,0,6,6,Uttar Pradesh,jalaun
9,35,68,13,0,55,17,0,38,9,13,4,Uttar Pradesh,jhansi
9,36,52,10,1,41,7,0,34,4,10,6,Uttar Pradesh,lalitpur
9,37,48,18,0,30,3,0,27,1,18,17,Uttar Pradesh,hamirpur
9,38,22,3,1,18,3,0,15,0,3,3,Uttar Pradesh,mahoba
9,39,31,8,0,23,11,0,12,6,8,2,Uttar Pradesh,banda
9,40,37,7,0,30,8,0,22,4,7,3,Uttar Pradesh,chitrakoot
9,41,51,11,0,40,10,0,30,4,11,7,Uttar Pradesh,fatehpur
9,42,19,2,0,17,13,0,4,1,2,1,Uttar Pradesh,pratapgarh
9,43,8,1,0,7,4,0,3,0,1,1,Uttar Pradesh,kaushambi
9,44,53,18,3,32,18,0,14,9,18,9,Uttar Pradesh,allahabad
9,45,69,5,2,62,13,0,49,5,5,0,Uttar Pradesh,bara banki
9,46,32,10,2,20,10,0,10,5,10,5,Uttar Pradesh,faizabad
9,47,10,2,1,7,6,0,1,2,2,0,Uttar Pradesh,ambedkar nagar
9,48,18,5,0,13,5,0,8,5,5,0,Uttar Pradesh,sultanpur
9,49,41,3,2,36,12,0,24,2,3,1,Uttar Pradesh,bahraich
9,50,2,1,0,1,1,0,0,1,1,0,Uttar Pradesh,shrawasti
9,51,32,6,1,25,3,0,22,2,6,4,Uttar Pradesh,balrampur
9,52,35,5,0,30,5,0,25,3,5,2,Uttar Pradesh,gonda
9,53,30,5,0,25,16,0,9,5,5,0,Uttar Pradesh,siddharthnagar
9,54,25,6,2,17,7,0,10,5,6,1,Uttar Pradesh,basti
9,55,11,2,1,8,7,0,1,2,2,0,Uttar Pradesh,sant kabir nagar
