district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
bongaigaon,12.173913,assam,27.678108,30.282993,1.5634937,7.077075,81.175926,41.655113,2.330693,12.851749,42.419666,-323910.5171,2.2815914,16.338768,83.661232,4.7792382,75.538429,4.686811,63.485802,14.108941,430.4316172
cachar,5.706521988,assam,32.728901,29.931881,1.55102,6.9961009,83.890198,56.846447,2.4793506,13.659376,26.427456,-617857.7116,1.9774063,17.137558,82.862442,5.0862813,72.923256,3.6413927,57.028461,20.056614,1159.356876
charaideo,,assam,24.983982,30.634071,1.4583925,6.6350942,76.701149,5.8131533,6.237514,8.1234045,79.72332,-578221.737,1.9590664,7.1843967,92.815605,4.919507,67.647781,5.8130789,58.876209,21.890129,292.3073588
chirang,19.35483742,assam,36.486206,30.173868,1.428129,6.4482732,76.55365,28.919092,40.295429,7.8179779,22.61714,-583308.4674,1.9239029,5.6726179,94.327385,4.8631196,75.347816,4.4772878,53.822769,13.683571,279.4027056
darrang,7.857142925,assam,42.203197,29.944532,1.5154549,6.9236994,79.103821,16.484386,3.3495553,42.596901,37.320877,-569166.7802,1.9461479,6.0998001,93.9002,4.9405923,77.194107,3.7886512,47.182026,9.9650774,535.0025369
dhemaji,4.597701073,assam,35.622826,29.978361,1.6724973,8.0556993,83.309883,11.168428,47.631584,4.9904065,36.209576,-689009.4331,1.8235222,7.2535529,92.746445,4.9361415,78.76825,2.5027041,54.779434,13.377905,378.3180322
dhubri,7.865169048,assam,29.367306,30.016376,1.3875239,6.1686435,74.49884,18.998022,1.7911909,47.113747,32.097042,-591649.86,1.9229898,14.048793,85.95121,5.1155186,80.184181,3.5049465,55.955135,12.022984,814.6805947
dibrugarh,32.11920547,assam,29.38839,30.79421,1.5832121,7.3752451,80.390152,3.6854084,10.045192,12.21711,73.538437,-230597.3447,2.4550481,19.652313,80.347687,4.9111505,69.191704,5.8415518,57.738091,22.873238,890.8852487
dima hasao,21.4285717,assam,18.95771,31.127758,1.8285087,8.574028,91.512512,1.4452043,85.03479,3.49037,10.029637,-353853.4829,2.2832048,33.772949,66.227051,4.8079104,67.296188,2.9312336,65.819077,16.811316,122.8223115
goalpara,10.99476433,assam,44.07629,30.235296,1.4939009,6.6312609,80.01297,15.988148,43.222069,16.812065,23.977716,-551549.7205,1.9857033,13.630772,86.369232,5.0090132,73.460266,4.1778283,47.304691,16.907944,597.4112813
golaghat,17.56756783,assam,24.796871,31.029894,1.5478489,7.1018291,79.842178,15.972519,12.79718,11.791112,59.139252,-526940.0535,1.9997475,6.8004584,93.199539,4.5666842,74.664459,5.3228049,52.775921,19.095051,644.2183552
hailakandi,2.586206913,assam,47.238213,30.066938,1.582962,7.1398973,84.173737,38.618027,5.4050999,19.674873,35.738831,-677854.1197,1.8120604,7.3393793,92.660614,5.3803692,72.038979,5.3709636,40.035431,23.531584,455.6929913
hojai,,assam,22.314262,30.009514,1.6992735,7.5904737,87.908264,31.431839,8.5088997,16.566671,43.492592,-339258.1388,2.289201,32.632984,67.36702,5.3710055,73.459038,3.828692,63.45311,16.852091,141.8661304
jorhat,16.92790031,assam,30.063206,31.361116,1.8083518,8.7131939,86.455009,8.9161921,8.5874977,21.316006,61.180305,-122641.6813,2.6285353,26.845741,73.154259,4.7506833,72.853432,4.8785758,54.022724,16.171486,588.7097555
kamrup,13.88888931,assam,38.072273,30.398325,1.6942602,7.9939804,83.199715,20.721312,21.21464,33.91457,22.169344,-250648.7147,2.424926,12.467419,87.532578,4.8757715,71.57869,5.4531732,56.924217,9.3129101,956.4037178
kamrup metropolitan,13.47305298,assam,11.956963,31.325832,1.9371375,9.3982725,90.428101,20.264376,15.935018,44.865795,18.047831,491654.8959,3.4974239,82.591522,17.408482,4.4884582,69.793091,4.1715064,83.505905,18.514805,770.9013756
karbi anglong,5.084745407,assam,20.708492,30.197161,1.5879593,7.2855687,81.66304,8.9646149,61.463219,4.2028494,25.369316,-489076.7369,2.0854869,16.555033,83.444962,5.1406846,69.164063,3.5693526,62.705898,18.589336,388.427716
karimganj,5.625,assam,35.100098,29.765537,1.5522108,6.8364143,85.439026,42.936817,1.1544342,20.417439,35.049419,-662046.141,1.8531505,6.9954982,93.004501,5.5811405,70.455673,4.5506878,58.272095,21.616545,797.695524
