district,total_weight_district,m_justify_beating_goes_out,m_justify_beating_neglect_kids,m_justify_beating_argues,m_justify_beating_refuses_sex,m_justify_beating_burns_food,m_num_control_issues,m_ever_humiliated_hp,m_ever_threatened_harm_hp,m_ever_insulted_hp,m_experienced_emotional_viol,m_pushed_shook_thrown,m_slapped,m_punched_hit_harmful,m_kicked_dragged,m_strangled_burnt,m_threatened_weapon,m_forced_unwanted_sex,m_forced_other_unwanted_sex,m_arm_twisted_hair_pulled,m_forced_unwanted_sexual_acts,m_experienced_less_severe_phys,m_experienced_severe_phys_sex,m_experienced_any_physical_viol,m_experienced_any_sexual_viol,m_injury_broken_bones_teeth,m_injury_deep_wounds_bleeding,m_injury_head_internal,m_injury_wounds_brokenbones,m_injury_severe_burns,m_experienced_any_listed_injury,m_respondent_physically_hurt,m_freq_hurt_hp_last12m,m_hp_drinks_alcohol,m_freq_hp_drunk,m_freq_hit_last12m_non_hp,m_hp_hurt_during_pregnancy,m_not_hurt_during_pregnancy,m_father_beat_mother,m_hp_jealous_other_men,m_hp_accuses_unfaithful,m_hp_limits_female_friends,m_hp_limits_family_contact,m_hp_insists_know_where_is,m_hp_no_trust_money
bijapur,25756688,0.25316125,0.27366617,0.23192857,0.19733663,0.30723715,0.78170049,0.14993042,0.099742018,0.096758872,0.1160669,0.25731915,0.52864528,0.22375105,0.18645495,0.076143101,0,0.012778817,0.011381665,0.26016268,0.024515962,0.25755426,0.11152556,0.024338223,6.0283084,0.029673729,0.006389408,0,0.005690833,0.012956557,0.041931711,0.097461246,0.16840298,0.44678143,0.77172238,0.079127215,0.006211862,0.60486537,0.48430854,0.2079937,0.12149353,0.12934144,0.083920337,0.13129802,0.10765351
sheopur,51566488,0.19152793,0.3075656,0.32345083,0.21192935,0.24737227,0.89224702,0.17772232,0.12386668,0.13040861,0.13158317,0.3924956,0.5698173,0.19204058,0.093621187,0.043200109,0.011734869,0.083677948,0.036812164,0.22497234,0.062811337,0.30725983,0.054434519,0.057742752,5.3270001,0.032780785,0.028780086,0,0.041043092,0.027467489,0.083160929,0.049674045,0.092396438,0.19224688,0.2970067,0.015958272,0.005693058,0.89384735,0.34199956,0.28022063,0.11431152,0.18604268,0.10864257,0.14261389,0.14780782
morena,101668256,0.17604397,0.17319223,0.18420243,0.095239587,0.14537826,1.1015095,0.019455295,0.022999106,0.064696036,0.042991176,0.092314035,0.3733207,0.029330954,0,0,0,0.006849493,0,0.046683047,0,0.18666042,0,0.006849493,0.93780297,0.017089523,0,0,0,0,0.017089523,0.017089523,0.034179047,0.10305171,0.19771123,0.11131238,0.006849493,0.84464872,0.264772,0.33432877,0.073340051,0.18374172,0.079506062,0.31080428,0.11978851
bhind,94839048,0.20149796,0.21186434,0.19025025,0.072127372,0.11835632,0.40965912,0.04228035,0.015395578,0.0289005,0.028837964,0.13559107,0.28760418,0,0.015395578,0,0,0.027264971,0.013379848,0.013379848,0.044296078,0.15634911,0.007697789,0.034772661,2.2968278,0.008698115,0,0,0,0,0.008698115,0,0,0.073382609,0.13136965,0.050469674,0,0.81484646,0.070280433,0.12456985,0.034322824,0.01875622,0.037803628,0.10779327,0.086413309
gwalior,133493864,0.060964532,0.1052051,0.24190727,0.33250463,0.2271163,1.0582073,0.092224978,0.1028413,0.075381048,0.08793918,0.12889025,0.36921495,0.17357126,0.093986571,0.092422955,0.037322704,0.079237185,0.028728692,0.14207602,0.035507668,0.16721952,0.0511651,0.037966188,0.60396546,0.057276364,0.033398133,0,0.012440901,0,0.057276364,0.026805246,0.028728692,0.14161971,0.21537606,0.034003511,0.006592895,0.83183223,0.50395292,0.20516934,0.085343145,0.17016953,0.13023758,0.26996452,0.1973232
datia,51634728,0.21495424,0.27921337,0.21572304,0.081711113,0.22438909,0.79014969,0.080385141,0.073347166,0.04462235,0.076788262,0.13821903,0.32691851,0.046511933,0.053309798,0,0,0.011540005,0.011540005,0.068359785,0.033387162,0.1732623,0.032347009,0.022463582,2.9556437,0.01809416,0,0,0,0,0.01809416,0.01413049,0.02826098,0.099636681,0.14365715,0.088628411,0.011540005,0.75917345,0.1605636,0.25580642,0.065426797,0.16620697,0.064041764,0.15713245,0.16892394
shivpuri,101541952,0.1676825,0.19411334,0.2620976,0.040748194,0.089244284,0.70615518,0.039781585,0,0.049684469,0.044733029,0.064653516,0.19991815,0.007638025,0.041548543,0,0,0.028794305,0,0.059365619,0.02894317,0.099959075,0.020774271,0.028868739,0.38717842,0.012543909,0.003819013,0,0,0,0.012543909,0.022948584,0.045897167,0.077241369,0.098957628,0,0,0.72335297,0.17383975,0.15405685,0.086798981,0.077440768,0.11426378,0.19261223,0.080982581
tikamgarh,102890336,0.19010423,0.12414356,0.1766777,0.071325988,0.054622952,1.1434772,0.24145304,0.084977172,0.19976988,0.12975483,0.23936616,0.53143388,0.074108399,0.15617609,0.023371115,0.023371115,0.055353653,0.039320488,0.4264532,0.0313458,0.23698181,0.058612112,0.03166417,0.78237617,0.079654656,0,0,0,0,0.079654656,0,0,0.12162207,0.18202893,0,0.018118709,0.81726223,0.083348557,0.26681268,0.10328259,0.15678664,0.16757883,0.13893171,0.31008473
chhatarpur,133787464,0.14230128,0.25488019,0.19528356,0.083121024,0.16060086,0.94156849,0.29885277,0.15317653,0.15337598,0.16530305,0.35942844,0.61018598,0.18811786,0.10686001,0.021744473,0,0.18266995,0.031013129,0.2464065,0.074198931,0.29806075,0.064302243,0.091332629,1.1506265,0.079393961,0.015506565,0,0,0,0.079393961,0.02081864,0.041637279,0.19794348,0.28941709,0.097535923,0.023010571,0.70650417,0.22005072,0.3438386,0.062655881,0.14843586,0.086883619,0.18877222,0.11098237
panna,74267928,0.21844245,0.25772929,0.26373345,0.22840814,0.28036436,1.7280433,0.3354207,0.21074927,0.19626656,0.21715043,0.24190529,0.56887978,0.083321609,0.21242279,0.1152584,0.043169834,0.14009881,0.12133563,0.12506938,0.1553386,0.28647089,0.11476935,0.069621533,6.3541713,0.066249542,0.025458701,0,0.007747571,0.012827502,0.079077043,0.023261549,0.02863236,0.17664848,0.28564081,0.058385767,0.052221626,0.79225022,0.32856643,0.35491827,0.20958014,0.27539995,0.24190229,0.32164469,0.32459804
