district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents
amethi,,uttar pradesh,36.35321,28.818449,1.4275136,6.8886075,72.293106,29.53363,0.22303668,24.14365,46.099682,-329026.5771,2.3379796,4.3012033,95.698799,6.7954431,66.081665,3.1344433,51.613777,33.269234,1206.176989,30.868786,9.9083195,86.596695,6.2789335,30.897942,0.0,46.140923,22.961136,-1423.0187,7.3316345,59.041142,87.966988,0.0,72.305107,62.08418795
amravati,,maharashtra,48.598248,31.455458,1.9627256,9.5499258,93.520447,25.421059,17.885098,14.522197,42.102386,435251.0439,3.4276581,36.600925,63.399071,5.2436862,70.920876,6.3156581,45.396046,42.590103,1795.584792,32.574707,9.5368452,87.37748,33.733147,24.254045,12.380053,42.518471,20.475002,341178.69,5.5687222,58.348675,93.994293,0.0,77.905998,432.3103777
amreli,30.1204834,gujarat,59.499851,30.678055,1.5634156,6.8852329,79.485535,17.386003,0.6377784,18.438583,62.958412,472266.0885,3.4998605,24.997713,75.002289,5.6018949,70.907524,2.1680214,35.791218,37.107071,773.5761816,33.343376,6.9468822,81.56871,22.61978,27.696007,0.0,64.994072,7.3099189,330218.41,5.6249971,69.036133,95.291069,0.0,85.079498,188.1992559
amritsar,13.22115326,punjab,27.068203,31.369947,1.7496988,8.8323107,84.162956,43.36499,0.3471705,36.509167,16.911934,1226295.264,4.4884248,50.223625,49.776371,5.5333662,71.113274,4.2053056,63.475315,38.739429,1379.746948,31.892399,9.5684423,86.611565,49.766819,42.487675,0.55215961,13.520494,39.565514,1332064.0,5.1332574,57.184292,90.543518,0.0,76.759117,115.7076405
anand,12.3711338,gujarat,45.348618,31.810881,1.5824879,7.2276349,82.180679,9.0454035,1.7795248,34.73616,53.998959,363944.2354,3.3124394,26.167768,73.83223,5.6967306,79.16803,3.4392073,44.0504,42.946686,1101.241159,32.233166,8.9285135,89.801575,24.596918,10.579279,0.59595686,68.953102,19.219055,276555.09,5.3873963,60.616409,89.399017,0.0,86.156013,288.8084376
anantapur,48.41629028,andhra pradesh,46.875237,32.492176,1.2687711,5.891118,66.149704,24.453644,2.7495987,12.525518,60.27124,290187.2547,3.1722143,33.733852,66.266151,4.5204463,79.11615,6.9926209,48.076813,46.130554,2337.799153,33.625816,7.790812,72.285133,31.77177,14.802553,7.9474678,64.711555,12.538423,350782.03,4.1254158,66.110504,94.952049,0.0,84.519127,596.7428353
anantnag,11.62790775,jammu & kashmir,23.132988,29.878786,1.6969427,8.4829645,75.340919,9.656395,8.312706,69.391357,12.461798,441878.0804,3.4378941,25.950617,74.049385,5.0668621,55.00803,1.1081424,74.853958,23.293814,508.5895435,31.032244,9.8209019,82.329628,30.424946,1.7084351,11.764136,13.460365,70.382019,306403.94,4.7189975,52.730644,97.986946,0.0,59.743233,103.6934484
anjaw,,arunachal pradesh,13.092537,31.222614,1.3382599,6.135561,71.083374,5.0659866,92.19458,0.23711812,2.5023134,-557186.9912,1.9531236,2.4205925,97.579407,4.0519156,69.690605,3.0903301,77.348557,30.660334,9.965245999,34.152489,8.0739908,84.430443,4.6755295,5.7772455,85.579079,7.873538,0.77013999,-519723.19,3.8155055,58.842937,90.441093,0.0,62.911201,0.669229005
anugul,17.82945633,odisha,32.370552,30.45129,1.5352819,7.0966716,80.761139,23.668242,15.843974,20.540623,39.856319,-334050.1078,2.3605416,14.638777,85.361221,4.9552007,73.668701,5.5695534,56.462646,23.94117,736.7656476,34.079338,8.7618036,91.658302,14.534935,21.275517,9.4419737,45.245865,24.036642,-206090.83,4.8513293,70.997063,88.833199,0.0,81.616539,50.52178486
anuppur,17.77777863,madhya pradesh,47.062515,30.46349,1.4819502,6.880033,75.707664,10.178725,47.220222,6.5943661,36.006691,-586304.6892,2.0395639,24.855223,75.144775,5.2600946,71.154121,3.6378913,32.263237,21.842535,482.5298014,33.002125,8.703948,84.079376,31.867683,15.191982,42.232311,35.602421,6.9732876,-525454.56,5.0280781,58.826679,79.325752,0.0,64.457001,39.20972225
araria,10.71428585,bihar,46.109726,28.219883,0.88669807,3.9215136,49.754986,24.597601,3.7066448,8.8445463,62.319977,-944274.0728,1.5801945,9.7284908,90.271507,6.3592,79.005165,2.9505012,41.982468,20.91766,1775.31689,30.648546,5.9462233,67.460564,14.611981,14.921912,12.170071,55.475403,15.994946,-796252.0,6.5748291,70.618858,88.092194,0.0,74.442734,334.6190839
aravali,,gujarat,59.397156,30.911554,1.5380145,7.2357407,76.569107,9.227952,16.472174,11.144689,62.96352,-138446.0304,2.6085067,17.413153,82.586845,5.6742687,74.028069,4.2155242,26.613573,42.786411,634.6141057,32.556568,9.1219931,82.577446,20.252258,4.091229,5.1773024,80.05674,10.674727,-59624.504,5.7860913,73.598846,86.010727,0.0,88.23275,151.3982264
ariyalur,34.18803406,tamil nadu,17.687592,32.752975,1.8694201,9.1445665,88.426888,26.479721,2.0819054,2.3742204,69.064156,2767.666896,2.756417,9.4233017,90.576698,4.3310423,76.578156,6.0179396,71.717667,50.493008,406.046795,34.530605,10.626114,90.832611,15.010628,25.577402,1.6965408,72.726059,0.0,84440.18,4.4116316,69.360748,89.405258,0.0,72.904167,21.19194517
arwal,1.388888955,bihar,48.458996,28.469793,1.2446697,5.9099979,62.210445,29.969448,3.9187198,7.9994388,58.112396,-501952.5734,2.0614913,13.178804,86.821198,5.983232,73.366669,1.8152677,36.948551,34.956917,408.6793346,30.241421,8.9180069,82.781242,16.535707,34.92263,0.0,54.645718,10.431655,-415731.5,5.702559,62.914295,85.407547,0.0,66.872902,69.07402423
ashoknagar,14.2857151,madhya pradesh,68.652161,29.131594,1.2854974,5.7948651,68.642105,25.039228,5.2362623,10.742004,58.180298,-378124.0886,2.2760501,18.942638,81.057365,6.0627937,77.049759,1.3023558,20.216475,37.552654,490.9509734,30.716425,7.7899003,77.113426,16.031612,33.983276,3.110956,48.27713,14.628635,-492601.0,5.6581335,66.929581,88.868637,0.0,85.977196,29.69923416
auraiya,4.0,uttar pradesh,47.567287,29.539743,1.7177899,8.4464312,81.127701,27.570221,1.042262,22.336761,49.050755,-250936.8666,2.428489,18.747849,81.252151,6.2723556,70.789444,3.5507727,42.821346,28.396242,798.4353274,30.362204,9.413579,83.292831,14.374727,35.429691,0.0,45.555103,19.015203,-354473.66,5.7958698,57.088135,90.388634,0.0,67.395172,44.96266356
aurangabad,2.127659559,bihar,46.791306,28.972689,1.3568966,6.5182171,67.822281,26.92219,2.6124892,13.967226,56.498093,-298190.7121,2.3741493,12.848441,87.151558,6.1651726,70.867119,2.5547457,43.255043,30.796295,1331.256843,28.575186,8.984622,84.948372,17.312563,23.04167,1.0736557,59.652798,16.231876,-124969.91,6.3482924,54.009087,90.046349,0.0,57.154465,262.5115162
aurangabad,2.127659559,bihar,46.791306,28.972689,1.3568966,6.5182171,67.822281,26.92219,2.6124892,13.967226,56.498093,-298190.7121,2.3741493,12.848441,87.151558,6.1651726,70.867119,2.5547457,43.255043,30.796295,1331.256843,32.190742,9.8746185,87.519295,48.294781,30.528736,13.786454,26.637226,28.165813,458440.06,5.7442636,66.259254,94.840149,0.0,79.143745,509.4757322
aurangabad,2.127659559,maharashtra,53.683716,29.909092,1.7749487,8.3946629,87.462685,20.881224,10.970323,37.379395,28.115475,486692.973,3.4993887,47.621666,52.378334,6.0410595,78.78846,3.4598477,41.156433,52.62307,2144.644492,28.575186,8.984622,84.948372,17.312563,23.04167,1.0736557,59.652798,16.231876,-124969.91,6.3482924,54.009087,90.046349,0.0,57.154465,262.5115162
aurangabad,2.127659559,maharashtra,53.683716,29.909092,1.7749487,8.3946629,87.462685,20.881224,10.970323,37.379395,28.115475,486692.973,3.4993887,47.621666,52.378334,6.0410595,78.78846,3.4598477,41.156433,52.62307,2144.644492,32.190742,9.8746185,87.519295,48.294781,30.528736,13.786454,26.637226,28.165813,458440.06,5.7442636,66.259254,94.840149,0.0,79.143745,509.4757322
azamgarh,14.62765884,uttar pradesh,36.949696,28.902193,1.7619518,8.7652559,81.125343,31.591522,0.27743462,15.740466,52.390575,-186273.5827,2.5299218,13.832421,86.16758,7.4066873,62.138008,1.7322593,48.077801,24.630032,2997.109408,29.244764,10.5189,89.276779,6.4400225,46.517822,0.0,37.238129,16.244053,-316116.09,6.6643791,47.906208,85.027496,0.0,55.146301,148.3125219
badgam,18.0232563,jammu & kashmir,27.612663,29.86186,1.6539732,8.1208305,75.442055,8.9242592,3.1797037,62.011753,25.771147,405294.9336,3.3930981,17.304678,82.69532,5.5366216,56.414211,0.78857297,67.951347,24.804131,318.8649709,31.276089,9.2764006,80.458656,17.038624,4.3618479,10.063065,15.232626,69.746078,329367.34,5.6863065,51.730747,95.564011,0.0,68.961372,72.58085811
bagalkot,21.4285717,karnataka,49.337437,30.230085,1.4562366,6.7604513,73.870918,19.059105,3.9353709,4.6058264,71.638901,1865.199305,2.7609444,33.880405,66.119591,6.5793614,71.018127,8.2545605,47.557507,30.359068,1131.097757,31.444504,9.8874207,86.139023,35.204517,5.9107885,3.1705315,78.032318,12.886357,-51624.055,6.0293207,54.105778,96.894943,0.0,73.932503,261.2648362
bageshwar,47.82608795,uttarakhand,13.001602,30.597364,1.8850363,9.3674459,91.447174,26.59491,1.2315923,65.382454,6.5800962,58873.70162,2.8499329,5.4555984,94.544403,4.8972483,72.818687,3.5831504,72.754501,31.619627,149.2904116,32.021919,11.800457,94.113197,10.89075,29.272642,0.83443123,0.0,69.892921,122584.41,5.008595,57.69326,85.756104,0.0,57.293365,8.100608028
baghpat,10.23622036,uttar pradesh,41.572025,29.798084,1.6362089,8.0790186,79.074913,16.346752,0.07825096,18.374084,65.058716,704088.2156,3.8048787,21.32214,78.677856,6.9497018,67.666473,2.5248067,46.686794,36.561543,754.2565447,31.690741,10.096937,90.9039,17.876301,6.2696109,0.0,69.547905,24.182484,748641.56,6.7746282,57.961376,88.25882,0.0,76.813675,56.76443161
bahraich,11.54929543,uttar pradesh,44.111195,28.079517,0.74436998,3.4995291,41.778217,16.499819,1.8080803,29.003986,52.688114,-775185.4554,1.8175851,8.4319811,91.568016,6.5553541,73.417953,2.8362849,39.566135,23.487122,1937.826522,31.510847,5.1301737,53.279297,6.3627558,20.023111,1.5615239,56.240837,22.174524,-679468.44,5.6788473,61.60664,83.67733,0.0,59.902328,102.0631777
baksa,13.46153927,assam,20.030861,30.772779,1.5121926,6.9555435,78.929901,22.041962,44.803013,12.936096,19.895163,-621739.6686,1.857926,1.103712,98.896286,4.9461155,75.302017,3.7015281,65.764725,9.5403357,624.1881146,34.792957,7.8823557,80.566345,0.0,17.720104,64.29528,7.2042475,10.780369,-510384.06,4.9076471,67.241829,85.795586,0.0,80.752151,125.6199275
balaghat,25.87719345,madhya pradesh,40.840946,30.451582,1.6367955,7.8372073,83.847183,6.0401425,26.265562,0.91128397,66.783012,-494463.7921,2.0881922,18.857645,81.142357,4.856163,67.816467,3.7706196,49.212269,41.470978,1049.726782,32.620651,7.6072211,75.704834,23.178032,24.904758,19.426941,54.374851,1.2934511,-268498.41,4.4459491,61.88932,90.053215,0.0,59.230286,81.08052903
balangir,21.4285717,odisha,36.654232,30.525738,1.4730593,6.7737899,79.083748,17.043348,19.733971,7.8057299,55.302532,-355343.4271,2.2836051,10.954467,89.045532,4.8708267,68.012062,4.0041075,50.324184,18.155788,1079.443294,33.624176,8.1092196,87.898117,15.561912,21.386198,15.658951,48.305725,14.649126,-195852.27,4.5778675,64.372597,86.978416,0.0,75.105972,66.04841131
baleshwar,25.95628548,odisha,25.518333,31.356447,1.6684955,7.7282901,84.386192,22.0599,14.270459,32.139397,31.194057,-400842.324,2.247453,12.067238,87.932762,4.4329944,79.00132,4.4126387,58.951218,18.590555,1265.383591,34.138107,8.034049,77.529488,18.704634,17.199663,17.614292,32.813984,31.433838,-382868.0,4.3616724,69.506142,84.469551,0.0,66.85215,72.00458616
ballia,14.2857151,uttar pradesh,37.584671,29.181671,1.5766106,7.8711843,72.816032,20.624487,7.0889874,14.494411,57.792114,-112812.213,2.6270156,10.410877,89.589127,6.1390018,64.82177,2.1077096,52.444328,26.491625,1718.649579,29.967655,9.6176739,83.919655,9.7133045,19.47172,2.136677,49.011925,29.379677,-70727.484,5.9339919,48.187912,90.028999,0.0,68.752518,100.4349248
balod,31.22171974,chhattisgarh,40.287708,31.128565,1.7774507,8.5337954,87.896675,10.901917,28.931507,0.84322804,59.323345,120094.3593,2.929615,13.672044,86.327957,4.8837433,66.39959,4.7760835,46.547924,22.151861,489.9178858,33.272564,9.2445049,91.026199,15.350344,11.09151,26.528141,62.380348,0.0,30351.617,4.5879126,62.148476,86.835632,0.0,68.388779,35.57903378
baloda bazar,40.1253891,chhattisgarh,45.033333,29.365292,1.548448,7.4570026,77.421028,18.132509,13.899636,7.9365625,60.031296,-57456.01699,2.7045324,14.787258,85.212746,6.1154647,66.237411,4.2142892,44.101868,19.393219,862.2788281,31.950331,8.5912304,86.634903,13.498789,17.145929,8.9640121,68.153435,5.7366238,38179.461,5.6214857,65.462944,89.135201,0.0,71.447075,52.25253765
balrampur,13.16872406,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676,31.813782,6.9359326,71.015976,11.477344,16.897551,1.3540187,62.218933,19.529499,-474530.69,6.2487378,61.381851,87.503685,0.0,68.464363,58.45591161
balrampur,13.16872406,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676,32.2966,7.9527617,77.074089,6.1276889,3.3646889,54.78323,33.672352,6.351181,-885885.0,4.9722157,69.659332,76.818085,0.0,64.310562,28.33303219
balrampur,38.63636398,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676,31.813782,6.9359326,71.015976,11.477344,16.897551,1.3540187,62.218933,19.529499,-474530.69,6.2487378,61.381851,87.503685,0.0,68.464363,58.45591161
balrampur,38.63636398,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676,32.2966,7.9527617,77.074089,6.1276889,3.3646889,54.78323,33.672352,6.351181,-885885.0,4.9722157,69.659332,76.818085,0.0,64.310562,28.33303219
balrampur,13.16872406,uttar pradesh,31.384251,28.482195,0.86278468,4.0076656,48.927071,19.908657,2.3019266,19.830912,57.9585,-515881.116,2.1083922,8.6930723,91.306923,6.3955774,71.147675,2.3498974,56.119434,25.33148,1124.468596,31.813782,6.9359326,71.015976,11.477344,16.897551,1.3540187,62.218933,19.529499,-474530.69,6.2487378,61.381851,87.503685,0.0,68.464363,58.45591161
balrampur,13.16872406,uttar pradesh,31.384251,28.482195,0.86278468,4.0076656,48.927071,19.908657,2.3019266,19.830912,57.9585,-515881.116,2.1083922,8.6930723,91.306923,6.3955774,71.147675,2.3498974,56.119434,25.33148,1124.468596,32.2966,7.9527617,77.074089,6.1276889,3.3646889,54.78323,33.672352,6.351181,-885885.0,4.9722157,69.659332,76.818085,0.0,64.310562,28.33303219
balrampur,38.63636398,uttar pradesh,31.384251,28.482195,0.86278468,4.0076656,48.927071,19.908657,2.3019266,19.830912,57.9585,-515881.116,2.1083922,8.6930723,91.306923,6.3955774,71.147675,2.3498974,56.119434,25.33148,1124.468596,31.813782,6.9359326,71.015976,11.477344,16.897551,1.3540187,62.218933,19.529499,-474530.69,6.2487378,61.381851,87.503685,0.0,68.464363,58.45591161
balrampur,38.63636398,uttar pradesh,31.384251,28.482195,0.86278468,4.0076656,48.927071,19.908657,2.3019266,19.830912,57.9585,-515881.116,2.1083922,8.6930723,91.306923,6.3955774,71.147675,2.3498974,56.119434,25.33148,1124.468596,32.2966,7.9527617,77.074089,6.1276889,3.3646889,54.78323,33.672352,6.351181,-885885.0,4.9722157,69.659332,76.818085,0.0,64.310562,28.33303219
banas kantha,30.44871712,gujarat,50.835724,29.145361,1.2140849,5.2313304,66.513786,29.624418,15.885059,6.9601507,45.750523,-144274.7292,2.6252151,11.902728,88.097275,6.0481067,72.929581,3.2779615,37.284233,36.520332,1655.718617,32.07999,8.3435812,77.254562,16.929659,19.933275,14.438282,52.192734,10.969458,89263.656,5.4005151,71.333427,88.119957,0.0,79.281067,306.6250252
banda,25.20325089,uttar pradesh,58.440422,29.676834,1.2342541,5.8817573,62.65691,23.379684,1.4106364,18.83223,56.377445,-636626.3687,2.0035307,17.02453,82.975471,6.0658002,68.554497,3.2164211,29.836395,29.020926,1027.275058,29.71368,7.3848133,71.94883,16.372574,26.533785,0.0,46.249729,27.216486,-681017.19,6.5627956,50.306122,88.276817,0.0,57.593506,74.78969589
bandipore,3.436426163,jammu & kashmir,34.071407,29.636784,1.467622,7.0648971,68.190002,2.2469826,9.7954855,81.974937,5.9825954,80576.8337,2.8795083,18.907959,81.092041,6.0195599,52.999912,1.8941097,61.50359,25.997156,207.9021212,30.682674,8.1122389,74.97921,17.014547,2.6661148,2.4564066,13.602948,81.274529,17897.6,5.6869369,48.669434,95.574997,0.0,66.929718,43.6491933
bangalore,19.46107674,karnataka,9.179718,31.482658,2.0116863,10.141028,89.131218,21.418028,11.018496,9.8386574,56.563232,1086598.152,4.3950582,90.657906,9.3420954,4.2972875,73.793861,3.7830901,88.260307,50.876797,5456.065533,32.866741,10.040066,88.022575,94.879974,22.999746,10.440027,65.667931,0.89229709,983316.0,3.9996965,58.398132,97.440025,0.0,65.685211,1420.583193
bangalore rural,22.07792282,karnataka,19.275261,31.246847,1.8000752,8.7738724,86.160545,23.890873,6.8027248,3.111201,66.195206,621888.563,3.7165759,28.234587,71.765419,4.8971276,74.978577,5.895225,74.75441,39.175766,578.2943132,33.377708,10.854294,93.991058,37.330112,17.349777,9.5791597,68.814049,4.257019,810905.19,4.8606963,64.096603,94.029671,0.0,88.372055,138.0235502
banka,4.166666985,bihar,33.756821,29.33581,1.114079,5.0986862,58.951061,26.222239,2.8963664,12.560159,58.0518,-649464.085,1.9244105,3.8424559,96.157547,5.7334895,80.871132,2.1047666,57.166977,24.584517,1076.943863,31.407753,8.2787409,81.533958,6.49156,23.812901,2.9865763,53.995491,19.205036,-354560.5,5.5381522,58.08881,90.923798,0.0,52.181244,195.5093174
bankura,1.976284623,west bengal,51.092987,30.578075,1.3573469,6.1629157,72.647873,34.908649,13.273287,32.691391,14.445332,-777809.2492,1.7939785,8.9390144,91.060982,4.9746885,79.734749,3.8573551,31.118805,20.706566,2290.466532,32.978252,6.8437266,65.159836,8.4260445,37.00016,15.334052,32.528072,13.519775,-855943.69,5.1822605,71.494499,82.211792,0.0,75.839989,491.3743169
banswara,42.46575165,rajasthan,55.27351,29.193764,1.1732174,5.6002226,57.501781,4.8600183,70.255554,5.9293327,18.445898,-598334.8981,2.0648692,6.9028788,93.097122,5.642076,70.743385,2.5669928,30.571514,41.963291,1148.993113,30.590899,8.2170668,80.896843,5.9339404,6.9913545,70.984665,16.730608,5.2933755,-614555.19,5.828783,65.638557,85.845024,0.0,75.606812,72.97781757
bara banki,23.38983154,uttar pradesh,34.696918,28.359158,1.3102937,6.2340078,67.102272,30.049971,2.7206211,17.862637,49.115437,-450243.5261,2.2052677,10.615561,89.384438,5.990232,64.313332,3.1281326,47.945423,28.958685,1866.214955,30.235003,8.0764503,76.134972,13.774294,25.609085,6.6907659,50.658463,16.486155,-375041.44,5.8456964,52.534969,82.642342,0.0,61.157566,128.4283074
baramula,3.203661442,jammu & kashmir,25.902351,29.582075,1.4695088,7.1117153,68.525536,4.2589078,1.437597,86.582199,7.0631185,200861.1823,3.0488176,21.596214,78.403786,6.2034841,55.661438,0.65811998,68.268982,23.123602,585.1166965,31.035151,9.8158817,87.743279,20.230333,3.1503301,1.5629603,6.2516184,89.035095,304215.72,5.9492321,51.089848,94.171333,0.0,70.361069,135.4725585
