district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents,total_respondents,mean_age,urban_share,pct_sc,pct_st,pct_obc,pct_general,mean_hh_size,mean_wealth_idx,dd_mobile_own_5,dd_mobile_own_4,dd_gap,treatment_status,f_mean_bf_dur_c1
dhanbad,10.36906815,jharkhand,42.768269,29.685375,1.5315711,7.2397294,75.00264,26.547272,8.3335781,12.543104,49.95623,52360.37931,2.8715358,60.227921,39.772083,5.6768084,72.504921,3.4979329,47.06126,23.97912,1660.524138,32.440941,9.553153,84.971199,56.756557,18.779467,7.2446542,50.201077,23.774805,190713.94,5.2982998,64.725945,89.829529,0.0,68.735596,101.1245385,1761.6486765,29.843553724153967,60.028653071525774,26.101373957863903,8.271070218424034,49.97028503844689,13.187841282380033,5.655080737723248,10950.326066632006,42.768269,60.707832,-17.939563,treated,76.059952
dhar,24.11347389,madhya pradesh,40.619984,30.109646,1.2225065,5.5705228,65.028831,13.975625,46.094997,10.123075,29.459656,-131580.989,2.6796532,22.112064,77.887932,5.558744,77.127472,3.0852809,44.349949,47.432907,1394.235038,32.092907,7.2456784,76.934181,0.0,5.9604664,50.456757,29.530493,14.052288,-212329.45,5.2059093,69.87204,84.969933,0.0,89.181519,69.86939913,1464.10443713,30.20429037841579,21.05684103500948,13.59312884664402,46.30314714463494,29.46303645463196,10.31058331184006,5.541906165310053,-10130.14826442011,40.619984,55.373474,-14.75349,treated,56.977211
dharmapuri,13.53383541,tamil nadu,23.64241,31.657562,1.8570073,9.1536684,84.273041,31.204203,6.1853385,6.950923,55.577892,349368.6568,3.3024175,16.25433,83.745667,4.0995102,74.390099,5.7217274,65.49781,47.133411,979.2315711,32.976509,9.1221895,83.521172,21.339617,36.606934,0.0,59.984715,3.4083519,376472.84,4.2218862,67.693108,89.140221,0.0,71.372131,48.9955264,1028.2270975,31.720410472595034,16.4966464241303,31.461645786701705,5.890604081400722,55.78787928117709,6.782117746495264,4.105341476527632,17942.26085602644,23.64241,24.332016,-0.689606,treated,56.560246
dharwad,21.01449203,karnataka,37.069431,31.330067,1.7963848,8.5995874,86.2565,16.810631,6.9882884,2.117234,73.327377,427460.9743,3.3967657,56.482548,43.517452,5.5824838,68.308479,7.7319837,53.715038,37.540699,1280.977201,33.733047,8.9033689,88.826767,56.564789,19.675781,5.7791634,67.022202,7.5228601,503524.47,5.738862,59.919006,90.78447,0.0,64.149696,295.1331699,1576.1103709,31.78003491956983,56.49794796657207,17.34714215895908,6.761874754963476,72.14670696642764,3.129459790555627,5.611766263158277,94289.79523044157,37.069431,46.382545,-9.313114,treated,65.496254
dhaulpur,38.11881256,rajasthan,43.563366,28.528944,1.2309874,5.8243127,63.226692,17.712563,8.6129313,30.8916,42.471634,-44405.85595,2.716264,25.020111,74.979889,6.084579,73.095482,2.8271208,37.198452,24.900875,688.7855242,30.563463,8.3379526,84.405754,25.466877,22.052841,13.570441,49.003662,15.373055,-168279.69,5.7975674,56.959499,80.761818,0.0,61.39399,44.08893688,732.8744610800001,28.65133846799657,25.04698796054397,17.97366944175219,8.911169734892642,42.86459375707217,29.958021075764904,6.06731269180094,-10120.97173688139,43.563366,45.96312,-2.399754,treated,74.624626
dhemaji,4.597701073,assam,35.622826,29.978361,1.6724973,8.0556993,83.309883,11.168428,47.631584,4.9904065,36.209576,-689009.4331,1.8235222,7.2535529,92.746445,4.9361415,78.76825,2.5027041,54.779434,13.377905,378.3180322,33.11356,8.4912968,82.842072,7.0311761,9.584445,58.887978,30.771749,0.75583065,-618484.63,5.0389509,68.241676,90.40226,0.0,75.249161,85.28971136,463.60774356,30.55514217218841,7.212642338542335,10.877023348663188,49.702417821372926,35.20918137394348,4.211373455372296,4.955055299807918,-113780.8555502248,35.622826,50.046551,-14.423725,treated,84.739563
dhenkanal,9.05172348,odisha,31.117592,31.477196,1.6345925,7.4262047,85.49456,22.901697,14.440973,16.404961,45.772015,-468123.783,2.1989579,9.2569427,90.743057,4.5539017,73.45929,6.0908122,55.532997,17.515451,655.0636287,34.100441,8.9716673,90.800156,8.7341909,11.236854,9.3665838,58.616024,20.780539,-259160.64,4.5844054,63.850689,86.650589,0.0,67.543411,35.9630442,691.0266729,31.61371732339048,9.229737171145182,22.294624536885728,14.176886980973045,46.44045470209388,16.632678845324502,4.555489201545721,-13485.391316041856,31.117592,49.973305,-18.855713,treated,80.771713
dhubri,7.865169048,assam,29.367306,30.016376,1.3875239,6.1686435,74.49884,18.998022,1.7911909,47.113747,32.097042,-591649.86,1.9229898,14.048793,85.95121,5.1155186,80.184181,3.5049465,55.955135,12.022984,814.6805947,34.778145,6.6147852,69.642494,16.62664,45.363281,9.68859,29.989296,14.958832,-552108.38,4.8830686,62.624996,85.322441,0.0,83.88726,156.5105909,971.1911856,30.78375042737279,14.46422135561315,23.24686849542225,3.063882227970108,31.75737193624905,41.93187877301423,5.078058533028501,-88972.4324657914,,,,,84.848366
dhule,,maharashtra,49.243496,30.758478,1.560038,7.3787112,78.084305,11.39228,34.851818,16.750284,35.751984,188161.3908,3.0652235,28.611057,71.388939,6.0627384,78.751328,5.2275038,35.118465,41.398994,1094.206796,31.302622,9.2373362,85.449318,24.841764,9.4361668,27.517748,48.135643,11.861321,140588.17,6.0762796,62.037319,84.361961,0.0,83.165756,261.4655789,1355.6723749,30.8634258683782,27.884081666921155,11.015008706654024,33.4373118894181,38.14039334526975,15.807360352160694,6.065350061757333,27117.408250380795,49.243496,51.018848,-1.775352,treated,61.303307
dibang valley,22.22222328,arunachal pradesh,9.0149384,31.37285,1.6252458,7.6566844,81.636139,7.6191368,89.926979,0.76434398,1.5073574,-191091.4028,2.4839697,36.52636,63.47364,4.023747,65.145676,3.2904739,86.344536,35.494465,4.940139006,34.858231,8.8233309,87.263115,32.367546,4.6329522,93.167274,0.0,0.0,-239002.94,3.5932608,65.769615,95.359474,0.0,80.581993,0.340930999,5.281070005,31.59785637656774,36.25787868649103,7.426357136425665,90.13616331498896,1.4100466535517444,0.7150000863507364,3.995956023913192,-15427.03275385428,9.0149384,42.688728,-33.6737896,treated,68.722473
