state_id,smdist,prop_internet_access,prop_mobile_access,gender
mizoram,champhai,0,.9066667,0
mizoram,serchhip,0,.92307693,0
mizoram,lunglei,0,.91428572,0
mizoram,lawngtlai,0,.86330932,0
mizoram,saiha,0,.83636355,0
tripura,dhalai,0,.80172414,0
meghalaya,south garo hills,0,.94871795,0
meghalaya,ribhoi,0,.81751823,0
meghalaya,east khasi hills,0,.85714287,0
assam,kokrajhar,0,.92913383,0
assam,goalpara,0,.91240877,0
assam,barpeta,0,.87218046,0
assam,morigaon,0,.85294116,0
assam,lakhimpur,0,.9285714,0
assam,dhemaji,0,.9054054,0
assam,tinsukia,0,.79365081,0
assam,dibrugarh,0,.8740741,0
assam,golaghat,0,.77310926,0
assam,dima hasao,0,.8389262,0
assam,cachar,0,.91199994,0
assam,karimganj,0,.93617016,0
assam,hailakandi,0,.87603307,0
assam,bongaigaon,0,.90977442,0
assam,chirang,0,.90769231,0
assam,kamrup,0,.95081967,0
assam,kamrup metropolitan,0,.95652175,0
assam,nalbari,0,.83870965,0
assam,baksa,0,.85820895,0
assam,darrang,0,.89333332,0
assam,udalguri,0,.86666667,0
west bengal,darjiling,0,.88571429,0
west bengal,jalpaiguri,0,.89147288,0
west bengal,koch bihar,0,.92028987,0
west bengal,uttar dinajpur,0,.91970807,0
west bengal,dakshin dinajpur,0,.83916086,0
west bengal,maldah,0,.88188976,0
west bengal,murshidabad,0,.8214286,0
west bengal,birbhum,0,.87248319,0
west bengal,nadia,0,.84090906,0
west bengal,north twenty four parganas,0,.95070416,0
west bengal,hugli,0,.89682531,0
west bengal,bankura,0,.82203388,0
west bengal,puruliya,0,.83185846,0
west bengal,haora,0,.95333332,0
west bengal,kolkata,0,.92028987,0
west bengal,south twenty four parganas,0,.90277773,0
west bengal,paschim medinipur,0,.84166664,0
west bengal,purba medinipur,0,.86363631,0
jharkhand,garhwa,0,.81250006,0
jharkhand,chatra,0,.89166665,0
jharkhand,kodarma,0,.8732394,0
jharkhand,giridih,0,.94736844,0
jharkhand,deoghar,0,.875,0
jharkhand,godda,0,.79816514,0
jharkhand,sahibganj,0,.87610626,0
jharkhand,pakur,0,.77884614,0
jharkhand,dhanbad,0,.90361446,0
jharkhand,bokaro,0,.92356688,0
jharkhand,lohardaga,0,.86206895,0
jharkhand,purbi singhbhum,0,.8418079,0
jharkhand,palamu,0,.83916086,0
jharkhand,latehar,0,.89440995,0
jharkhand,hazaribagh,0,.84210527,0
jharkhand,ramgarh,0,.84831458,0
jharkhand,dumka,0,.8442623,0
jharkhand,jamtara,0,.8263889,0
jharkhand,ranchi,0,.94871789,0
jharkhand,khunti,0,.77464789,0
jharkhand,gumla,0,.85795456,0
jharkhand,simdega,0,.87974685,0
jharkhand,pashchimi singhbhum,0,.86896551,0
jharkhand,saraikela-kharsawan,0,.89071041,0
odisha,bargarh,0,.88965511,0
