state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
uttar pradesh,aligarh,0,.88965517,0,.40522876,0,.48442641
uttar pradesh,mahamaya nagar,0,.83561641,0,.44324324,0,.39237317
uttar pradesh,mathura,0,.82716048,0,.30612245,0,.52103806
uttar pradesh,agra,0,.87421381,0,.39884394,0,.47536987
uttar pradesh,firozabad,0,.83977902,0,.41346154,0,.42631748
uttar pradesh,mainpuri,0,.79761904,0,.49206349,0,.30555555
uttar pradesh,bareilly,0,.86868685,0,.33812949,0,.53055739
uttar pradesh,pilibhit,0,.82394367,0,.38650307,0,.4374406
uttar pradesh,shahjahanpur,0,.87272727,0,.30612245,0,.56660485
uttar pradesh,kheri,0,.89349115,0,.28488371,0,.60860741
uttar pradesh,sitapur,0,.90540534,0,.23333333,0,.67207199
uttar pradesh,hardoi,0,.8829788,0,.31818181,0,.56479698
uttar pradesh,unnao,0,.8881579,0,.44444445,0,.44371346
uttar pradesh,lucknow,0,.88034189,0,.55624998,0,.32409191
uttar pradesh,farrukhabad,0,.88,0,.40101522,0,.47898477
uttar pradesh,kannauj,0,.92929292,0,.40796021,0,.52133274
uttar pradesh,etawah,0,.92896175,0,.5,0,.42896175
uttar pradesh,auraiya,0,.90963858,0,.43093926,0,.47869933
uttar pradesh,kanpur dehat,0,.86805558,0,.40123457,0,.46682101
uttar pradesh,kanpur nagar,0,.93220341,0,.64327484,0,.28892857
uttar pradesh,jalaun,0,.87878788,0,.37185928,0,.50692856
uttar pradesh,jhansi,0,.96943229,0,.55947137,0,.40996093
uttar pradesh,lalitpur,0,.9217391,0,.2820513,0,.63968778
uttar pradesh,hamirpur,0,.93203878,0,.41626793,0,.51577085
uttar pradesh,mahoba,0,.88938051,0,.3561644,0,.53321612
uttar pradesh,banda,0,.88177341,0,.30337077,0,.57840264
uttar pradesh,chitrakoot,0,.83236992,0,.37951806,0,.45285186
uttar pradesh,fatehpur,0,.89142859,0,.497006,0,.39442259
uttar pradesh,pratapgarh,0,.875,0,.51960784,0,.35539216
uttar pradesh,kaushambi,0,.88571429,0,.41025642,0,.47545788
uttar pradesh,allahabad,0,.8699187,0,.45890412,0,.41101459
uttar pradesh,bara banki,0,.82608694,0,.47849461,0,.34759232
uttar pradesh,faizabad,0,.89051098,0,.52017939,0,.37033159
uttar pradesh,ambedkar nagar,0,.86153853,0,.4858757,0,.37566283
uttar pradesh,bahraich,0,.82945734,0,.3935484,0,.43590894
uttar pradesh,shrawasti,0,.88961047,0,.53475934,0,.35485113
uttar pradesh,balrampur,0,.87234044,0,.53846157,0,.33387887
uttar pradesh,gonda,0,.86842102,0,.52356023,0,.34486079
uttar pradesh,siddharthnagar,0,.92125982,0,.61751151,0,.30374831
uttar pradesh,basti,0,.91156465,0,.54751134,0,.36405331
uttar pradesh,sant kabir nagar,0,.93333334,0,.54497355,0,.38835979
uttar pradesh,mahrajganj,0,.91666669,0,.57297295,0,.34369373
uttar pradesh,gorakhpur,0,.92592591,0,.60869563,0,.31723028
uttar pradesh,kushinagar,0,.94202906,0,.61734694,0,.32468212
uttar pradesh,deoria,0,.94267511,0,.5970149,0,.34566021
uttar pradesh,azamgarh,0,.84931505,0,.47999996,0,.36931509
uttar pradesh,mau,0,.90476185,0,.61979169,0,.28497016
uttar pradesh,ballia,0,.89583331,0,.52201259,0,.37382072
uttar pradesh,jaunpur,0,.92045456,0,.6514523,0,.26900226
uttar pradesh,ghazipur,0,.91625613,0,.46009389,0,.45616224
uttar pradesh,chandauli,0,.8652482,0,.44808742,0,.41716078
uttar pradesh,varanasi,0,.84615386,0,.55882353,0,.28733033
uttar pradesh,sant ravidas nagar (bhadohi),0,.87288129,0,.52601159,0,.34686971
uttar pradesh,mirzapur,0,.91836733,0,.4770115,0,.44135582
uttar pradesh,sonbhadra,0,.8214286,0,.39393941,0,.42748919
uttar pradesh,etah,0,.81005585,0,.40101522,0,.40904063
uttar pradesh,kanshiram nagar,0,.87730056,0,.4413408,0,.43595976
bihar,pashchim champaran,0,.86238539,0,.46753246,0,.39485294
bihar,purba champaran,0,.89285713,0,.59036142,0,.30249572
bihar,sheohar,0,.88461536,0,.4893617,0,.39525366
bihar,sitamarhi,0,.89380533,0,.58787876,0,.30592656
bihar,madhubani,0,.85074633,0,.58940399,0,.26134235
bihar,supaul,0,.90909094,0,.51572329,0,.39336765
bihar,araria,0,.88235295,0,.40983605,0,.47251689
bihar,kishanganj,0,.91176462,0,.38181818,0,.52994645
bihar,purnia,0,.83962262,0,.55757576,0,.28204685
bihar,katihar,0,.86206895,0,.37037036,0,.49169859
bihar,madhepura,0,.9285714,0,.48587573,0,.44269568
bihar,saharsa,0,.94318181,0,.53383458,0,.40934724
bihar,darbhanga,0,.89189196,0,.52258062,0,.36931133
bihar,muzaffarpur,0,.96923077,0,.503268,0,.46596277
bihar,gopalganj,0,.92708331,0,.57692307,0,.35016024
bihar,siwan,0,.88421053,0,.51648355,0,.36772698
bihar,saran,0,.89423084,0,.44692737,0,.44730347
