state,district,internet_5,mobile_5,gender_5,internet_use_m_5,mobile_own_m_5,internet_use_f_5,mobile_own_f_5,dd_internet_use_5,dd_mobile_own_5,State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,men_mobile_own_4,men_mobile_financial_4,men_mobile_own2_4,men_mobile_financial2_4,n_obs_men_4,women_mobile_own_4,n_obs_women_4,digital_gap_ownership_4
arunachal pradesh,changlang,0,0.92592591,0,0,0.92592591,0,0.76530612,0,0.1606198,12,9,121,35,13,73,35,1,37,30,35,5,0.91453511,0.38218653,0.91453511,0.38218653,4.478904042,0.70116347,13.62320385,0.21337163
arunachal pradesh,changlang,0,0.76530612,1,0,0.92592591,0,0.76530612,0,0.1606198,12,9,121,35,13,73,35,1,37,30,35,5,0.91453511,0.38218653,0.91453511,0.38218653,4.478904042,0.70116347,13.62320385,0.21337163
arunachal pradesh,dibang valley,0,0.9402985,0,0,0.9402985,0,0.88524598,0,0.055052519,12,13,2,1,0,1,1,0,0,1,1,0,0.95359474,0.22896251,0.95359474,0.22896251,0.340930999,0.8154934,0.331649002,0.13810134
arunachal pradesh,dibang valley,0,0.88524598,1,0,0.9402985,0,0.88524598,0,0.055052519,12,13,2,1,0,1,1,0,0,1,1,0,0.95359474,0.22896251,0.95359474,0.22896251,0.340930999,0.8154934,0.331649002,0.13810134
arunachal pradesh,east kameng,0,0.83846152,0,0,0.83846152,0,0.70921987,0,0.12924165,12,3,15,9,0,6,6,0,0,9,9,0,0.86316848,0.082732067,0.86316848,0.082732067,1.656562989,0.85347795,6.10520996,0.009690523
arunachal pradesh,east kameng,0,0.70921987,1,0,0.83846152,0,0.70921987,0,0.12924165,12,3,15,9,0,6,6,0,0,9,9,0,0.86316848,0.082732067,0.86316848,0.082732067,1.656562989,0.85347795,6.10520996,0.009690523
arunachal pradesh,east siang,0,0.91304356,0,0,0.91304356,0,0.85207099,0,0.060972571,12,7,51,11,8,32,16,0,16,11,11,0,0.91555089,0.25207853,0.91555089,0.25207853,2.39003098,,,
arunachal pradesh,east siang,0,0.85207099,1,0,0.91304356,0,0.85207099,0,0.060972571,12,7,51,11,8,32,16,0,16,11,11,0,0.91555089,0.25207853,0.91555089,0.25207853,2.39003098,,,
arunachal pradesh,kra daadi,0,0.93333334,0,0,0.93333334,0,0.74074072,0,0.19259262,,,,,,,,,,,,,0.93665469,0.38490587,0.93665469,0.38490587,0.83625798,,,
arunachal pradesh,kra daadi,0,0.74074072,1,0,0.93333334,0,0.74074072,0,0.19259262,,,,,,,,,,,,,0.93665469,0.38490587,0.93665469,0.38490587,0.83625798,,,
arunachal pradesh,kurung kumey,0,0.92063493,0,0,0.92063493,0,0.75,0,0.17063493,12,12,8,3,3,2,2,0,0,3,3,0,0.88474011,0.46732599,0.88474011,0.46732599,1.171352992,,,
arunachal pradesh,kurung kumey,0,0.75,1,0,0.92063493,0,0.75,0,0.17063493,12,12,8,3,3,2,2,0,0,3,3,0,0.88474011,0.46732599,0.88474011,0.46732599,1.171352992,,,
arunachal pradesh,lohit,0,0.90673578,0,0,0.90673578,0,0.75155282,0,0.15518296,12,15,131,47,12,72,36,0,36,45,47,2,0.90905535,0.37409058,0.90905535,0.37409058,1.671093001,,,
arunachal pradesh,lohit,0,0.75155282,1,0,0.90673578,0,0.75155282,0,0.15518296,12,15,131,47,12,72,36,0,36,45,47,2,0.90905535,0.37409058,0.90905535,0.37409058,1.671093001,,,
arunachal pradesh,longding,0,0.88590598,0,0,0.88590598,0,0.72784811,0,0.15805787,,,,,,,,,,,,,0.89103705,0.13898103,0.89103705,0.13898103,1.247048006,,,
arunachal pradesh,longding,0,0.72784811,1,0,0.88590598,0,0.72784811,0,0.15805787,,,,,,,,,,,,,0.89103705,0.13898103,0.89103705,0.13898103,1.247048006,,,
arunachal pradesh,lower dibang valley,0,0.95375729,0,0,0.95375729,0,0.91208792,0,0.041669369,12,14,38,7,3,28,16,1,11,7,7,0,0.92574722,0.43026447,0.92574722,0.43026447,2.883151978,0.66716295,4.603318964,0.25858426
arunachal pradesh,lower dibang valley,0,0.91208792,1,0,0.95375729,0,0.91208792,0,0.041669369,12,14,38,7,3,28,16,1,11,7,7,0,0.92574722,0.43026447,0.92574722,0.43026447,2.883151978,0.66716295,4.603318964,0.25858426
arunachal pradesh,lower subansiri,0,0.95209581,0,0,0.95209581,0,0.83749998,0,0.11459583,12,11,13,5,1,7,6,0,1,5,5,0,0.94822663,0.28232753,0.94822663,0.28232753,2.250191994,0.69210726,5.792106027,0.25611937
arunachal pradesh,lower subansiri,0,0.83749998,1,0,0.95209581,0,0.83749998,0,0.11459583,12,11,13,5,1,7,6,0,1,5,5,0,0.94822663,0.28232753,0.94822663,0.28232753,2.250191994,0.69210726,5.792106027,0.25611937
arunachal pradesh,namsai,0,0.89473683,0,0,0.89473683,0,0.59036142,0,0.30437541,,,,,,,,,,,,,0.89352912,0.2958031,0.89352912,0.2958031,3.427688979,,,
arunachal pradesh,namsai,0,0.59036142,1,0,0.89473683,0,0.59036142,0,0.30437541,,,,,,,,,,,,,0.89352912,0.2958031,0.89352912,0.2958031,3.427688979,,,
arunachal pradesh,papum pare,0,0.96478873,0,0,0.96478873,0,0.85093164,0,0.11385709,12,4,83,44,12,27,27,0,0,44,44,0,0.96734154,0.24252106,0.96734154,0.24252106,3.073081074,0.66837913,16.5427829,0.29896241
arunachal pradesh,papum pare,0,0.85093164,1,0,0.96478873,0,0.85093164,0,0.11385709,12,4,83,44,12,27,27,0,0,44,44,0,0.96734154,0.24252106,0.96734154,0.24252106,3.073081074,0.66837913,16.5427829,0.29896241
arunachal pradesh,siang,0,0.96753246,0,0,0.96753246,0,0.89880955,0,0.068722904,,,,,,,,,,,,,0.9692539,0.36188507,0.9692539,0.36188507,0.779025994,,,
arunachal pradesh,siang,0,0.89880955,1,0,0.96753246,0,0.89880955,0,0.068722904,,,,,,,,,,,,,0.9692539,0.36188507,0.9692539,0.36188507,0.779025994,,,
arunachal pradesh,tawang,0,0.94160587,0,0,0.94160587,0,0.80124223,0,0.14036363,12,1,8,3,2,3,3,0,0,2,3,1,0.93565768,0.46236762,0.93565768,0.46236762,1.351862988,0.70688915,2.671802027,0.22876853
arunachal pradesh,tawang,0,0.80124223,1,0,0.94160587,0,0.80124223,0,0.14036363,12,1,8,3,2,3,3,0,0,2,3,1,0.93565768,0.46236762,0.93565768,0.46236762,1.351862988,0.70688915,2.671802027,0.22876853
arunachal pradesh,tirap,0,0.89130437,0,0,0.89130437,0,0.72077924,0,0.17052513,12,10,46,6,6,34,17,0,17,6,6,0,0.88701499,0.58951604,0.88701499,0.58951604,1.800840993,,,
arunachal pradesh,tirap,0,0.72077924,1,0,0.89130437,0,0.72077924,0,0.17052513,12,10,46,6,6,34,17,0,17,6,6,0,0.88701499,0.58951604,0.88701499,0.58951604,1.800840993,,,
arunachal pradesh,upper siang,0,0.93233085,0,0,0.93233085,0,0.81451613,0,0.11781472,12,8,22,2,0,20,8,0,12,2,2,0,0.93957859,0.229039,0.93957859,0.229039,0.910952009,0.63653731,1.707580008,0.30304128
arunachal pradesh,upper siang,0,0.81451613,1,0,0.93233085,0,0.81451613,0,0.11781472,12,8,22,2,0,20,8,0,12,2,2,0,0.93957859,0.229039,0.93957859,0.229039,0.910952009,0.63653731,1.707580008,0.30304128
arunachal pradesh,upper subansiri,0,0.87074828,0,0,0.87074828,0,0.70547944,0,0.16526884,12,5,11,5,1,5,5,0,0,5,5,0,0.86289382,0.11698133,0.86289382,0.11698133,1.987349981,0.73123443,6.354444958,0.13165939
arunachal pradesh,upper subansiri,0,0.70547944,1,0,0.87074828,0,0.70547944,0,0.16526884,12,5,11,5,1,5,5,0,0,5,5,0,0.86289382,0.11698133,0.86289382,0.11698133,1.987349981,0.73123443,6.354444958,0.13165939
arunachal pradesh,west kameng,0,0.97604799,0,0,0.97604799,0,0.82954544,0,0.14650255,12,2,20,13,2,5,5,0,0,12,13,1,0.98697811,0.44695461,0.98697811,0.44695461,2.080647015,0.67712158,5.592015941,0.30985653
arunachal pradesh,west kameng,0,0.82954544,1,0,0.97604799,0,0.82954544,0,0.14650255,12,2,20,13,2,5,5,0,0,12,13,1,0.98697811,0.44695461,0.98697811,0.44695461,2.080647015,0.67712158,5.592015941,0.30985653
arunachal pradesh,west siang,0,0.96240604,0,0,0.96240604,0,0.77205884,0,0.19034719,12,6,38,20,10,8,7,0,1,19,20,1,0.96928889,0.34041587,0.96928889,0.34041587,2.648746969,,,
arunachal pradesh,west siang,0,0.77205884,1,0,0.96240604,0,0.77205884,0,0.19034719,12,6,38,20,10,8,7,0,1,19,20,1,0.96928889,0.34041587,0.96928889,0.34041587,2.648746969,,,
assam,baksa,0,0.85820895,0,0,0.85820895,0,0.65662652,0,0.20158243,18,25,28,13,3,12,5,1,6,10,13,3,0.85795587,0.2812922,0.85795587,0.2812922,125.6199275,0.68572485,85.61790133,0.17223102
assam,baksa,0,0.65662652,1,0,0.85820895,0,0.65662652,0,0.20158243,18,25,28,13,3,12,5,1,6,10,13,3,0.85795587,0.2812922,0.85795587,0.2812922,125.6199275,0.68572485,85.61790133,0.17223102
assam,barpeta,0,0.87218046,0,0,0.87218046,0,0.50609756,0,0.36608291,18,4,19,15,3,1,1,0,0,14,15,1,0.87330228,0.40016052,0.87330228,0.40016052,222.2206836,0.56512547,145.204116,0.30817682
assam,barpeta,0,0.50609756,1,0,0.87218046,0,0.50609756,0,0.36608291,18,4,19,15,3,1,1,0,0,14,15,1,0.87330228,0.40016052,0.87330228,0.40016052,222.2206836,0.56512547,145.204116,0.30817682
assam,biswanath,0,0.88148141,0,0,0.88148141,0,0.56790125,0,0.31358016,,,,,,,,,,,,,0.88216907,0.30946523,0.88216907,0.30946523,53.87961173,,,
assam,biswanath,0,0.56790125,1,0,0.88148141,0,0.56790125,0,0.31358016,,,,,,,,,,,,,0.88216907,0.30946523,0.88216907,0.30946523,53.87961173,,,
assam,bongaigaon,0,0.90977442,0,0,0.90977442,0,0.62195122,0,0.2878232,18,20,28,9,6,13,10,0,3,9,9,0,0.91163909,0.035232678,0.91163909,0.035232678,90.5300234,0.59875089,60.80507001,0.31288821
assam,bongaigaon,0,0.62195122,1,0,0.90977442,0,0.62195122,0,0.2878232,18,20,28,9,6,13,10,0,3,9,9,0,0.91163909,0.035232678,0.91163909,0.035232678,90.5300234,0.59875089,60.80507001,0.31288821
assam,cachar,0,0.91199994,0,0,0.91199994,0,0.57718122,0,0.33481872,18,17,21,18,0,3,3,0,0,17,18,1,0.89757365,0.26888636,0.89757365,0.26888636,245.0691605,0.54766154,166.136753,0.34991211
assam,cachar,0,0.57718122,1,0,0.91199994,0,0.57718122,0,0.33481872,18,17,21,18,0,3,3,0,0,17,18,1,0.89757365,0.26888636,0.89757365,0.26888636,245.0691605,0.54766154,166.136753,0.34991211
assam,charaideo,0,0.83561641,0,0,0.83561641,0,0.58888888,0,0.24672753,,,,,,,,,,,,,0.83860195,0.16270925,0.83860195,0.16270925,59.87764072,,,
assam,charaideo,0,0.58888888,1,0,0.83561641,0,0.58888888,0,0.24672753,,,,,,,,,,,,,0.83860195,0.16270925,0.83860195,0.16270925,59.87764072,,,
assam,chirang,0,0.90769231,0,0,0.90769231,0,0.53801167,0,0.36968064,18,21,6,4,2,0,0,0,0,2,4,2,0.90308976,0.17047419,0.90308976,0.17047419,55.54769987,0.54229254,40.91452125,0.36079723
assam,chirang,0,0.53801167,1,0,0.90769231,0,0.53801167,0,0.36968064,18,21,6,4,2,0,0,0,0,2,4,2,0.90308976,0.17047419,0.90308976,0.17047419,55.54769987,0.54229254,40.91452125,0.36079723
assam,darrang,0,0.89333332,0,0,0.89333332,0,0.47999999,0,0.41333333,18,26,11,6,2,3,3,0,0,5,6,1,0.89385223,0.5085488,0.89385223,0.5085488,131.9312225,0.6246143,75.88905853,0.26923794
assam,darrang,0,0.47999999,1,0,0.89333332,0,0.47999999,0,0.41333333,18,26,11,6,2,3,3,0,0,5,6,1,0.89385223,0.5085488,0.89385223,0.5085488,131.9312225,0.6246143,75.88905853,0.26923794
assam,dhemaji,0,0.9054054,0,0,0.9054054,0,0.54545456,0,0.35995084,18,9,8,3,1,4,4,0,0,1,3,2,0.90402263,0.18165025,0.90402263,0.18165025,85.28971136,0.66576892,57.79828772,0.23825371
assam,dhemaji,0,0.54545456,1,0,0.9054054,0,0.54545456,0,0.35995084,18,9,8,3,1,4,4,0,0,1,3,2,0.90402263,0.18165025,0.90402263,0.18165025,85.28971136,0.66576892,57.79828772,0.23825371
assam,dhubri,0,0.85000008,0,0,0.85000008,0,0.54605263,0,0.30394745,18,2,35,24,6,5,3,1,1,21,24,3,0.8532244,0.1513135,0.8532244,0.1513135,156.5105909,,,
assam,dhubri,0,0.54605263,1,0,0.85000008,0,0.54605263,0,0.30394745,18,2,35,24,6,5,3,1,1,21,24,3,0.8532244,0.1513135,0.8532244,0.1513135,156.5105909,,,
assam,dibrugarh,0,0.8740741,0,0,0.8740741,0,0.57861638,0,0.29545772,18,11,97,49,10,38,18,0,20,47,49,2,0.87126482,0.15506227,0.87126482,0.15506227,193.037536,0.68910855,126.7527477,0.18215626
assam,dibrugarh,0,0.57861638,1,0,0.8740741,0,0.57861638,0,0.29545772,18,11,97,49,10,38,18,0,20,47,49,2,0.87126482,0.15506227,0.87126482,0.15506227,193.037536,0.68910855,126.7527477,0.18215626
assam,dima hasao,0,0.8389262,0,0,0.8389262,0,0.64516127,0,0.19376493,18,16,3,3,0,0,0,0,0,3,3,0,0.84776789,0.26483762,0.84776789,0.26483762,26.20937069,0.72569567,15.25629495,0.12207222
assam,dima hasao,0,0.64516127,1,0,0.8389262,0,0.64516127,0,0.19376493,18,16,3,3,0,0,0,0,0,3,3,0,0.84776789,0.26483762,0.84776789,0.26483762,26.20937069,0.72569567,15.25629495,0.12207222
assam,goalpara,0,0.91240877,0,0,0.91240877,0,0.47674417,0,0.43566459,18,3,21,13,2,6,5,0,1,13,13,0,0.91380984,0.22750172,0.91380984,0.22750172,117.0375258,0.61754835,99.00142264,0.29626149
assam,goalpara,0,0.47674417,1,0,0.91240877,0,0.47674417,0,0.43566459,18,3,21,13,2,6,5,0,1,13,13,0,0.91380984,0.22750172,0.91380984,0.22750172,117.0375258,0.61754835,99.00142264,0.29626149
assam,golaghat,0,0.77310926,0,0,0.77310926,0,0.51999998,0,0.25310928,18,14,26,13,2,11,11,0,0,7,13,6,0.77572793,0.20479071,0.77572793,0.20479071,129.7297263,0.63831246,104.4014391,0.13741547
assam,golaghat,0,0.51999998,1,0,0.77310926,0,0.51999998,0,0.25310928,18,14,26,13,2,11,11,0,0,7,13,6,0.77572793,0.20479071,0.77572793,0.20479071,129.7297263,0.63831246,104.4014391,0.13741547
assam,hailakandi,0,0.87603307,0,0,0.87603307,0,0.3974359,0,0.47859716,18,19,3,2,0,1,1,0,0,2,2,0,0.87273645,0.22050728,0.87273645,0.22050728,94.65800148,0.61667484,64.15506297,0.25606161
assam,hailakandi,0,0.3974359,1,0,0.87603307,0,0.3974359,0,0.47859716,18,19,3,2,0,1,1,0,0,2,2,0,0.87273645,0.22050728,0.87273645,0.22050728,94.65800148,0.61667484,64.15506297,0.25606161
assam,hojai,0,0.83783782,0,0,0.83783782,0,0.6241135,0,0.21372432,,,,,,,,,,,,,0.8576737,0.24145408,0.8576737,0.24145408,32.00032209,,,
assam,hojai,0,0.6241135,1,0,0.83783782,0,0.6241135,0,0.21372432,,,,,,,,,,,,,0.8576737,0.24145408,0.8576737,0.24145408,32.00032209,,,
assam,jorhat,0,0.83471072,0,0,0.83471072,0,0.53750002,0,0.29721069,18,13,54,28,15,11,9,0,2,22,28,6,0.84085929,0.39641422,0.84085929,0.39641422,126.9074846,,,
assam,jorhat,0,0.53750002,1,0,0.83471072,0,0.53750002,0,0.29721069,18,13,54,28,15,11,9,0,2,22,28,6,0.84085929,0.39641422,0.84085929,0.39641422,126.9074846,,,
assam,kamrup,0,0.95081967,0,0,0.95081967,0,0.57352942,0,0.37729025,18,22,45,21,9,15,10,0,5,13,21,8,0.94996488,0.16817659,0.94996488,0.16817659,218.45469,0.54149741,141.4019398,0.40846747
assam,kamrup,0,0.57352942,1,0,0.95081967,0,0.57352942,0,0.37729025,18,22,45,21,9,15,10,0,5,13,21,8,0.94996488,0.16817659,0.94996488,0.16817659,218.45469,0.54149741,141.4019398,0.40846747
assam,kamrup metropolitan,0,0.95652175,0,0,0.95652175,0,0.83536583,0,0.12115592,18,23,45,22,10,13,11,1,1,22,22,0,0.95462871,0.33431834,0.95462871,0.33431834,191.7244924,0.76169372,99.66844261,0.19293499
assam,kamrup metropolitan,0,0.83536583,1,0,0.95652175,0,0.83536583,0,0.12115592,18,23,45,22,10,13,11,1,1,22,22,0,0.95462871,0.33431834,0.95462871,0.33431834,191.7244924,0.76169372,99.66844261,0.19293499
assam,karbi anglong,0,0.83333331,0,0,0.83333331,0,0.62352943,0,0.20980388,18,15,12,8,0,4,3,0,1,8,8,0,0.83414394,0.24047352,0.83414394,0.24047352,86.24627405,,,
assam,karbi anglong,0,0.62352943,1,0,0.83333331,0,0.62352943,0,0.20980388,18,15,12,8,0,4,3,0,1,8,8,0,0.83414394,0.24047352,0.83414394,0.24047352,86.24627405,,,
assam,karimganj,0,0.93617016,0,0,0.93617016,0,0.58125001,0,0.35492015,18,18,18,13,1,4,2,0,2,12,13,1,0.93372196,0.21315031,0.93372196,0.21315031,174.2405788,0.75666112,112.6554935,0.17706084
assam,karimganj,0,0.58125001,1,0,0.93617016,0,0.58125001,0,0.35492015,18,18,18,13,1,4,2,0,2,12,13,1,0.93372196,0.21315031,0.93372196,0.21315031,174.2405788,0.75666112,112.6554935,0.17706084
assam,kokrajhar,0,0.92913383,0,0,0.92913383,0,0.5354839,0,0.39364994,18,1,7,6,0,1,1,0,0,3,6,3,0.92595875,0.44288847,0.92595875,0.44288847,109.7167744,0.73393285,70.48419651,0.1920259
assam,kokrajhar,0,0.5354839,1,0,0.92913383,0,0.5354839,0,0.39364994,18,1,7,6,0,1,1,0,0,3,6,3,0.92595875,0.44288847,0.92595875,0.44288847,109.7167744,0.73393285,70.48419651,0.1920259
assam,lakhimpur,0,0.9285714,0,0,0.9285714,0,0.61240309,0,0.31616831,18,8,11,7,1,3,1,0,2,5,7,2,0.92901355,0.14637925,0.92901355,0.14637925,121.0577365,0.73331505,102.4296706,0.1956985
assam,lakhimpur,0,0.61240309,1,0,0.9285714,0,0.61240309,0,0.31616831,18,8,11,7,1,3,1,0,2,5,7,2,0.92901355,0.14637925,0.92901355,0.14637925,121.0577365,0.73331505,102.4296706,0.1956985
